pid,title,title_en,authors,year,issn,journal_title,doi,document_type,language,source_file,source_file_exists,source_column,task_packet_file,input_text_hash,input_text_bytes,body_char_count,body_word_count,canonical_gold_input_hash,body_hash_matches_gold_input_hash,source_method,source_url,retrieved_at,abstract_char_count,reference_tail_ratio,validation_flags,agent_a_prompt_version,agent_b_prompt_version,agent_c_prompt_version,agent_d_prompt_version
S0011-52582025000400220,O Jovem Claude Lefort entre Socialismo e Democracia: Uma Leitura Sociológica*,The Young Claude Lefort between Socialism and Democracy: A Sociological Reading,Fabio Mascaro Querido,2025,0011-5258,Dados,10.1590/DADOS.2025.68.4.397,research-article,pt,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0011-52582025000400220.md,23fbdc9aed8e383d563e0b5c995bfb3ff722697b3c33f05c1d0ed23965423592,80875,77291,12206,21e8e2c654ae3d1c827fa9176cf8a2190245abc39a727e3f0e71c1d1dacffc2d,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582025000400220&tlng=pt,2026-06-03T23:06:04Z,941,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0011-52582025000400228,"José Maria Ibiapina, um Ultramontano Heterodoxo?*","José Maria Ibiapina, a Heterodox Ultramontane?",Helga Gahyva,2025,1678-4588,Dados,10.1590/DADOS.2025.68.4.400,research-article,pt,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0011-52582025000400228.md,0362e4c727a79db636d31c41f13577a9e02211546b60515d06e145e77a26acc4,47143,45398,6740,320a3688842db44f501d80937dd2595a7c1cec24d306b7a28d062b81bb5c7649,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582025000400228&tlng=pt,2026-06-03T23:06:04Z,898,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0034-73292005000200008,O Brasil e o Conselho de Segurança da Organização das Nações Unidas: dos anos 90 a 2002,Brazil and the UN: struggle for a Role in the Security Council (From the Nineties to the Present Day),Virgílio Caixeta Arraes,2005,1983-3121,Revista Brasileira de Política Internacional,,research-article,pt,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0034-73292005000200008.md,6a1353b29d78585c14d20c8f4c9a8401ee1d86fe876c78f57aa502eccbba6b74,35869,34798,5434,16c5e2c32f8fc83e39275b8749030259a881945151adcc09369e929b431987c4,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292005000200008&tlng=pt,2026-06-03T23:06:04Z,375,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0034-73292008000100004,Aspectos da integração regional em defesa no Cone Sul,Aspects of regional integration on defense in South Cone,Suzeley Kalil Mathias; André Cavaller Guzzi; Renata Avelar Giannini,2008,1983-3121,Revista Brasileira de Política Internacional,,research-article,pt,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0034-73292008000100004.md,6deec75de1e3e8ae5b2a416cb24730c8a1953f62473b5ae03f7f4864891816bc,43056,41637,6517,87516c9863813c1ed610bfa218a4495494015d648fa29f391cd41fa11d68cc61,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292008000100004&tlng=pt,2026-06-03T23:06:04Z,495,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0034-73292009000100001,La Argentina y el Plan Marshall: promesas y realidades,Argentina and the Marshall Plan: promises and realities,Mario Rapoport; Claudio Spiguel,2009,1983-3121,Revista Brasileira de Política Internacional,,research-article,es,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0034-73292009000100001.md,1affb5497ca62273ecc9423c968dadb35cf576d3dd68086b88da7c5e682f8eac,62784,61637,9450,83120919ad1500bc2d231fa7e371ec780d87d037a97ea35ad9ec024b5d47c764,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292009000100001&tlng=es,2026-06-03T23:06:04Z,523,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0034-73292009000100007,Ordem e Justiça na sociedade internacional pós-11 de Setembro,Order and Justice in the international society after September 11,Emerson Maione de Souza,2009,0034-7329,Revista Brasileira de Política Internacional,,research-article,pt,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0034-73292009000100007.md,d621786c74980f79e2b3818dc2c1c99c9adffbb8fde73199cd6eb5d27a39a45c,34649,33754,5255,81f183242176fea045b7f5fc302f0d90c3a3b6ab71a0f35ac29123c5c904e1a3,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292009000100007&tlng=pt,2026-06-03T23:06:04Z,632,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0034-73292010000300011,Parceria global emergente: Brasil e China,Emerging global partnership: Brazil and China,Niu Haibin,2010,1983-3121,Revista Brasileira de Política Internacional,,research-article,en,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0034-73292010000300011.md,aaab9fbe57d69cdf660b417f838a6e24d97d67b806ca916c1dda599d1e11eb25,25793,25791,3981,814fd29f92bba9af0e0b0adce6e6ccfaa26c454b63b588d2385ab19469205d94,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292010000300011&tlng=en,2026-06-03T23:06:04Z,466,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0034-73292011000200008,Brasil y la región: una potencia emergente y la integración regional sudamericana,Brazil and the region: an emergent power and the South-American regional integration,Sergio Caballero Santos,2011,1983-3121,Revista Brasileira de Política Internacional,,research-article,es,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0034-73292011000200008.md,e383d3cb2001ee0d45d7c9e68bfe01f5f58fe61e86b872948486d5d27f4f3a59,31877,31195,4919,eca8f82a215d7434796f480fffaaae28e02e962eaec8aa05ac5144ad342cfe58,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292011000200008&tlng=es,2026-06-03T23:06:04Z,366,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0034-73292012000100003,Ascenso y hegemonía: pensando a las potencias emergentes desde América del Sur,Rise and hegemony: some observations on emerging powers from a South American perspective,Luis L. Schenoni,2012,1983-3121,Revista Brasileira de Política Internacional,,research-article,es,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0034-73292012000100003.md,a915337a82a7f22d0dacaf63c4b655dc2fd86d373f392139ce8fba81f1760a91,35766,35026,5371,68ebff45378e5bcf8359578ad044f654bacf3a3007f7b4fd74b1081388d3fb43,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292012000100003&tlng=es,2026-06-03T23:06:04Z,813,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0034-73292012000300007,Dilema de escolha: a resposta chinesa à mudança climática,Dilemma of choice: China's response to climate change,Ming-Te Hung; Tung-Chieh Tsai,2012,0034-7329,Revista Brasileira de Política Internacional,,research-article,en,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0034-73292012000300007.md,549dbd27cc9e7a819c7dece950220e3e5693c67f7011994052835722f048df51,44772,44744,6781,8ea60f66259d9e67bddee7f958075f3965ce47e7e0abcf1391a778ad3575ec39,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292012000300007&tlng=en,2026-06-03T23:06:04Z,369,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0034-73292017000100203,Brazilian Foreign Policy Towards Internet Governance,Brazilian Foreign Policy Towards Internet Governance,Maurício Santoro; Bruno Borges,2017,1983-3121,Revista Brasileira de Política Internacional,10.1590/0034-7329201600111,research-article,en,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0034-73292017000100203.md,0e93d78fe71f106d2cdf6464c1154a1a660ae118602b30250c5ba89e4916d87c,38464,38429,6095,5a2c008a3c065534421bb9f713ea8cb320d89ef93d1e8414ccfaf394c74bbed4,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292017000100203&tlng=en,2026-06-03T23:06:04Z,539,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0034-73292017000100218,Clashing frames: human rights and foreign policy in the Brazilian re-democratization process,Clashing frames: human rights and foreign policy in the Brazilian re-democratization process,João Henrique Roriz,2017,1983-3121,Revista Brasileira de Política Internacional,10.1590/0034-73292017001020,research-article,en,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0034-73292017000100218.md,552d7fb9b3342cbf4911ed66fc6805f5977c604af6fd5f7446408c65d5ab2733,37982,37661,5899,98465df3083d7c78db7b90ad33770cef27a28bb9915b98ad3594bc404137b090,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292017000100218&tlng=en,2026-06-03T23:06:04Z,376,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0034-73292017000200207,Explaining Defense Cooperation With Process-tracing: the Brazilian Proposal for the Creation of UNASUR South American Defense Council,Explaining Defense Cooperation With Process-tracing: the Brazilian Proposal for the Creation of UNASUR South American Defense Council,Augusto W. M. Teixeira Júnior; Antonio Henrique Lucena Silva,2017,1983-3121,Revista Brasileira de Política Internacional,10.1590/0034-7329201700209,research-article,en,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0034-73292017000200207.md,47befe0e532905f602eb35dd05d354df8970fe415b74e67bc313d0b59f19ca2c,38882,38730,5942,d98e726986e6c5cfa1a667a5a76d7e4cde0725b0c19f80d08169aa6d5f9ad461,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292017000200207&tlng=en,2026-06-03T23:06:04Z,509,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0034-73292017000200208,The Brazilian participation in UNIFIL: raising Brazil&#8217;s profile in international peace and security in the Middle East?,The Brazilian participation in UNIFIL: raising Brazil&#8217;s profile in international peace and security in the Middle East?,Antonio Ruy Almeida Silva; Carlos Chagas Vianna Braga; Danilo Marcondes,2017,1983-3121,Revista Brasileira de Política Internacional,10.1590/0034-7329201700211,research-article,en,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0034-73292017000200208.md,ec42d589d9f8fbdf102058c9e0a670ec61345b3646fa9202d566dc6f789e665c,37805,37416,5784,603763f24de69bc26168d54f255f03f7283d75c5c30e268ca2363ddef6f33f40,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292017000200208&tlng=en,2026-06-03T23:06:04Z,603,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0034-73292021000200208,What doesn&#8217;t kill a norm makes it stronger? Brazil&#8217;s contestation of the responsibility to protect,What doesn&#8217;t kill a norm makes it stronger? Brazil&#8217;s contestation of the responsibility to protect,Francisca Costa Reis,2021,1983-3121,Revista Brasileira de Política Internacional,10.1590/0034-7329202100208,research-article,en,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0034-73292021000200208.md,dd273b926e701100fb20ce5001082fc62daaac78f6c22e1cf2942a940ae9146e,41955,41667,6375,c4001840184995d015c7d8f6cf3b7e2edc5a471326caf9143e5e13392bcf3ce4,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292021000200208&tlng=en,2026-06-03T23:06:05Z,440,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0034-73292022000100205,The space left for regional integration (or lack thereof): Structural causes of institutional fragmentation in Latin America (1991-2019),The space left for regional integration (or lack thereof): Structural causes of institutional fragmentation in Latin America (1991-2019),Julio Cesar Cossio Rodriguez; Valentina Tâmara Haag,2022,0034-7329,Revista Brasileira de Política Internacional,10.1590/0034-7329202200111,research-article,en,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0034-73292022000100205.md,d0dd171b90bc53f95cc4024a2e606ed43288c41269fbdc29dcfffe9efe1eeceb,47141,46917,7148,fa6b3ef9d0877e6d5147e6cf1de0ee9c2f2cf999b0614d40c79e51ca54f6f9ed,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292022000100205&tlng=en,2026-06-03T23:06:05Z,927,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0034-73292023000200502,Mercosur and Environment: progress in promoting the Sustainable Development Goals and the 2030 Agenda,Mercosur and Environment: progress in promoting the Sustainable Development Goals and the 2030 Agenda,Regiane Nitsch Bressan; Tatiana de Souza Leite Garcia,2023,1983-3121,Revista Brasileira de Política Internacional,10.1590/0034-7329202300217,research-article,en,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0034-73292023000200502.md,1db376696560f9c5129153051bceb1921abfbaf0023d5af2578be3a863210278,50873,50695,7534,ba9693e553bc98d1aaf699c6ece0ad1b4fcf15199921d32126c611100282ceb6,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292023000200502&tlng=en,2026-06-03T23:06:05Z,829,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
S0034-73292025000200604,Impact of China&#8211;Latin America Transportation Infrastructure Cooperation on Latin American Economies: A Project Data Study (2009&#8211;2023),Impact of China&#8211;Latin America Transportation Infrastructure Cooperation on Latin American Economies: A Project Data Study (2009&#8211;2023),Cao Ting,2025,0034-7329,Revista Brasileira de Política Internacional,10.1590/0034-7329202500220,research-article,en,data/processed/fulltext_gold/article_texts_gold.csv,TRUE,body_text,data/processed/full_classification_pilot_v2/task_packets/S0034-73292025000200604.md,378d5174a5c6c76cf625e5e79f1e7b4870f1f1eeaef76ec1631fc8410a316f98,50682,50333,7093,9116c4af96269aad36cafae37f5467a4a1b526956227ccc189425ec28527ebf2,FALSE,articlemeta_fulltexts_html,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292025000200604&tlng=en,2026-06-03T23:06:05Z,916,0,,agent_a_v2+common_schema_v2,agent_b_v2+common_schema_v2,agent_c_v2+common_schema_v2,agent_d_v1+fidelity_schema_v1
