issn,title,subject_areas
0004-282X,Arquivos de Neuro-Psiquiatria,Health Sciences; NEUROSCIENCES; PSYCHIATRY; en; fr; pt
1808-1657,Arquivos do Instituto Biológico,"AGRICULTURE, MULTIDISCIPLINARY; Agricultural Sciences; en; es; pt"
2317-6431,Audiology - Communication Research,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY; Health Sciences; REHABILITATION; en; pt
2236-1960,Autopsy and Case Reports,ANATOMY & MORPHOLOGY; Health Sciences; PATHOLOGY; en
1414-4077,Avaliação: Revista da Avaliação da Educação Superior (Campinas),EDUCATION & EDUCATIONAL RESEARCH; Human Sciences; en; es; pt
1807-7692,BAR - Brazilian Administration Review,Applied Social Sciences; MANAGEMENT; en; pt
1808-2386,BBR. Brazilian Business Review,Applied Social Sciences; MANAGEMENT; en; es; pt
2176-4573,Bakhtiniana: Revista de Estudos do Discurso,"LANGUAGE & LINGUISTICS; LINGUISTICS; Linguistics, Letters and Arts; en; es; pt; ru"
1676-0603,Biota Neotropica,BIODIVERSITY CONSERVATION; Biological Sciences; en
0103-636X,Bolema: Boletim de Educação Matemática,EDUCATION & EDUCATIONAL RESEARCH; Human Sciences; en; es; pt
1982-2170,Boletim de Ciências Geodésicas,Exact and Earth Sciences; GEOCHEMISTRY & GEOPHYSICS; REMOTE SENSING; en; es; pt
0373-5524,Boletim do Instituto Oceanográfico,Biological Sciences; Exact and Earth Sciences; OCEANOGRAPHY; en; es; pt
0100-4239,Boletim do Instituto Paulista de Oceanografia,Biological Sciences; Exact and Earth Sciences; OCEANOGRAPHY; en; es; pt
1678-2305,Boletim do Instituto de Pesca,Agricultural Sciences; FISHERIES; en; es; pt
1981-8122,Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas,ANTHROPOLOGY; ARCHAEOLOGY; Human Sciences; en; es; fr; pt
2595-3192,BrJP,HEALTH CARE SCIENCES & SERVICES; Health Sciences; en; es; pt
0006-8705,Bragantia,"AGRICULTURE, MULTIDISCIPLINARY; Agricultural Sciences; en; pt"
1516-8913,Brazilian Archives of Biology and Technology,Agricultural Sciences; BIOLOGY; Biological Sciences; Engineering; Health Sciences; en; pt
0103-6440,Brazilian Dental Journal,"DENTISTRY, ORAL SURGERY & MEDICINE; Health Sciences; en"
2352-2291,Brazilian Journal of Anesthesiology,"ANESTHESIOLOGY; Health Sciences; MEDICINE, GENERAL & INTERNAL; en; es; pt"
1519-6984,Brazilian Journal of Biology,BIOLOGY; Biological Sciences; en
0100-8404,Brazilian Journal of Botany,Biological Sciences; PLANT SCIENCES; pt
0102-7638,Brazilian Journal of Cardiovascular Surgery,CARDIAC & CARDIOVASCULAR SYSTEMS; Health Sciences; SURGERY; en; pt
0104-6632,Brazilian Journal of Chemical Engineering,"ENGINEERING, CHEMICAL; Engineering; en"
1981-6723,Brazilian Journal of Food Technology,Agricultural Sciences; FOOD SCIENCE & TECHNOLOGY; en; es; pt
0100-8455,Brazilian Journal of Genetics,BIOCHEMISTRY & MOLECULAR BIOLOGY; Biological Sciences; GENETICS & HEREDITY; en
2317-4889,Brazilian Journal of Geology,"Exact and Earth Sciences; GEOLOGY; GEOSCIENCES, MULTIDISCIPLINARY; en; es; pt"
1413-8670,Brazilian Journal of Infectious Diseases,Biological Sciences; Health Sciences; INFECTIOUS DISEASES; en
0100-879X,Brazilian Journal of Medical and Biological Research,"BIOLOGY; Biological Sciences; Health Sciences; MEDICINE, RESEARCH & EXPERIMENTAL; en"
1517-8382,Brazilian Journal of Microbiology,Biological Sciences; MICROBIOLOGY; en; pt
0101-2800,Brazilian Journal of Nephrology,Health Sciences; UROLOGY & NEPHROLOGY; en; pt
1679-8759,Brazilian Journal of Oceanography,Exact and Earth Sciences; MARINE & FRESHWATER BIOLOGY; OCEANOGRAPHY; en; pt
1677-3225,Brazilian Journal of Oral Sciences,"DENTISTRY, ORAL SURGERY & MEDICINE; Health Sciences; en"
1808-8694,Brazilian Journal of Otorhinolaryngology,Health Sciences; OTORHINOLARYNGOLOGY; en; pt
1984-8250,Brazilian Journal of Pharmaceutical Sciences,Health Sciences; PHARMACOLOGY & PHARMACY; en; pt
1413-3555,Brazilian Journal of Physical Therapy,Health Sciences; ORTHOPEDICS; REHABILITATION; en; pt
0103-9733,Brazilian Journal of Physics,"Exact and Earth Sciences; PHYSICS, MULTIDISCIPLINARY; en"
1677-0420,Brazilian Journal of Plant Physiology,Biological Sciences; PLANT SCIENCES; en
1516-635X,Brazilian Journal of Poultry Science,"AGRICULTURE, DAIRY & ANIMAL SCIENCE; Agricultural Sciences; ORNITHOLOGY; en; es; pt"
1516-4446,Brazilian Journal of Psychiatry,Health Sciences; PSYCHIATRY; en; pt
2319-0612,Brazilian Journal of Radiation Sciences,"Engineering; Health Sciences; MEDICINE, GENERAL & INTERNAL; en; es; pt"
2764-1589,Brazilian Journal of Transplantation,"Health Sciences; MEDICINE, GENERAL & INTERNAL; en; es; pt"
1413-9596,Brazilian Journal of Veterinary Research and Animal Science,"AGRICULTURE, DAIRY & ANIMAL SCIENCE; Agricultural Sciences; VETERINARY SCIENCES; en; pt"
1981-9854,Brazilian Journalism Research,Applied Social Sciences; COMMUNICATION; es; pt
1806-8324,Brazilian Oral Research,"DENTISTRY, ORAL SURGERY & MEDICINE; Health Sciences; en; pt"
0104-7760,CERNE,Agricultural Sciences; FORESTRY; en; es; pt
0103-4979,Caderno CRH,Applied Social Sciences; Human Sciences; SOCIOLOGY; en; es; fr; pt
1413-9251,Caderno de Estudos,"Applied Social Sciences; BUSINESS, FINANCE; pt"
2526-8910,Cadernos Brasileiros de Terapia Ocupacional,HEALTH CARE SCIENCES & SERVICES; Health Sciences; en; es; pt
0101-3262,Cadernos CEDES,EDUCATION & EDUCATIONAL RESEARCH; Human Sciences; en; fr; pt
1679-3951,Cadernos EBAPE.BR,Applied Social Sciences; MANAGEMENT; en; es; fr; pt
2236-9996,Cadernos Metrópole,Applied Social Sciences; DEMOGRAPHY; URBAN STUDIES; en; es; pt
2316-8242,Cadernos Nietzsche,Human Sciences; PHILOSOPHY; pt
0104-8333,Cadernos Pagu,"ANTHROPOLOGY; HUMANITIES, MULTIDISCIPLINARY; Human Sciences; SOCIOLOGY; en; es; pt"
1414-462X,Cadernos Saúde Coletiva,"Health Sciences; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; en; es; pt"
0100-1574,Cadernos de Pesquisa,EDUCATION & EDUCATIONAL RESEARCH; Human Sciences; en; es; fr; pt
0102-311X,Cadernos de Saúde Pública,"Health Sciences; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; en; es; pt"
2175-7968,Cadernos de Tradução,"ART; LANGUAGE & LINGUISTICS; LINGUISTICS; Linguistics, Letters and Arts; SOCIAL SCIENCES, INTERDISCIPLINARY; en; es; fr; pt; zh"
0366-6913,Cerâmica,"Engineering; MATERIALS SCIENCE, CERAMICS; en; pt"
1516-7313,Ciência & Educação (Bauru),EDUCATION & EDUCATIONAL RESEARCH; Human Sciences; en; es; pt
1413-8123,Ciência & Saúde Coletiva,"Health Sciences; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; en; es; fr; pt"
1809-6891,Ciência Animal Brasileira,Agricultural Sciences; VETERINARY SCIENCES; en; pt
1980-5098,Ciência Florestal,Agricultural Sciences; ECOLOGY; ENVIRONMENTAL STUDIES; FORESTRY; en; es; pt
0103-8478,Ciência Rural,AGRONOMY; Agricultural Sciences; en; pt
0100-1965,Ciência da Informação,Applied Social Sciences; INFORMATION SCIENCE & LIBRARY SCIENCE; es; pt
1413-7054,Ciência e Agrotecnologia,"AGRICULTURE, MULTIDISCIPLINARY; Agricultural Sciences; en; pt"
1807-5932,Clinics,"Health Sciences; MEDICINE, GENERAL & INTERNAL; en; es; pt"
2317-1782,CoDAS,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY; Health Sciences; REHABILITATION; en; es; pt
2176-9133,Cogitare Enfermagem,HEALTH CARE SCIENCES & SERVICES; Health Sciences; en; es; pt
1808-1851,Coluna/Columna,Health Sciences; ORTHOPEDICS; REHABILITATION; en; es; pt
1807-0302,Computational & Applied Mathematics,"Exact and Earth Sciences; MATHEMATICS, APPLIED; en; pt"
2965-2774,Critical Care Science,"HEALTH CARE SCIENCES & SERVICES; Health Sciences; MEDICINE, GENERAL & INTERNAL; en; es; pt"
1984-7033,Crop Breeding and Applied Biotechnology,AGRONOMY; Agricultural Sciences; BIOTECHNOLOGY & APPLIED MICROBIOLOGY; Biological Sciences; en
0102-4450,DELTA: Documentação de Estudos em Lingüística Teórica e Aplicada,"LINGUISTICS; Linguistics, Letters and Arts; en; es; it; pt"
1980-5764,Dementia & Neuropsychologia,"CLINICAL NEUROLOGY; GERIATRICS & GERONTOLOGY; HEALTH CARE SCIENCES & SERVICES; Health Sciences; Human Sciences; MEDICINE, GENERAL & INTERNAL; NURSING; PSYCHIATRY; PSYCHOLOGY; en; es; pt"
2176-9451,Dental Press Journal of Orthodontics,"DENTISTRY, ORAL SURGERY & MEDICINE; Health Sciences; en; pt"
2178-2792,Dilemas: Revista de Estudos de Conflito e Controle Social,ANTHROPOLOGY; Human Sciences; SOCIOLOGY; en; es; pt
0100-4670,Eclética Química,"CHEMISTRY, MULTIDISCIPLINARY; Exact and Earth Sciences; en; pt"
1413-8050,Economia Aplicada,Applied Social Sciences; ECONOMICS; en; es; fr; pt
0104-0618,Economia e Sociedade,Applied Social Sciences; ECONOMICS; SOCIOLOGY; en; es; pt
0104-4060,Educar em Revista,EDUCATION & EDUCATIONAL RESEARCH; Human Sciences; en; es; fr; it; pt
2448-3583,Educação & Formação (Fortaleza),EDUCATION & EDUCATIONAL RESEARCH; Human Sciences; en; es; pt
2175-6236,Educação & Realidade,EDUCATION & EDUCATIONAL RESEARCH; Human Sciences; de; en; es; pt
0101-7330,Educação & Sociedade,EDUCATION & EDUCATIONAL RESEARCH; Human Sciences; SOCIOLOGY; en; es; fr; pt
1517-9702,Educação e Pesquisa,EDUCATION & EDUCATIONAL RESEARCH; Human Sciences; en; es; fr; pt
0102-4698,Educação em Revista,EDUCATION & EDUCATIONAL RESEARCH; Human Sciences; en; es; fr; pt
1984-557X,Eletrônica de Potência,"ENGINEERING, ELECTRICAL & ELECTRONIC; Engineering; en; es; pt"
1808-5245,Em Questão,Applied Social Sciences; INFORMATION SCIENCE & LIBRARY SCIENCE; en; es; pt
1518-2924,Encontros Bibli,Applied Social Sciences; COMMUNICATION; INFORMATION SCIENCE & LIBRARY SCIENCE; en; es; pt
0100-6916,Engenharia Agrícola,AGRICULTURAL ENGINEERING; Agricultural Sciences; en; es; pt
1413-4152,Engenharia Sanitaria e Ambiental,Engineering; WATER RESOURCES; en; es; pt
1983-2117,Ensaio Pesquisa em Educação em Ciências (Belo Horizonte),"EDUCATION & EDUCATIONAL RESEARCH; EDUCATION, SCIENTIFIC DISCIPLINES; Human Sciences; en; es; pt"
0104-4036,Ensaio: Avaliação e Políticas Públicas em Educação,EDUCATION & EDUCATIONAL RESEARCH; Human Sciences; SOCIAL ISSUES; es; pt
0328-0381,Entomología y Vectores,Biological Sciences; ENTOMOLOGY; en; es; fr; pt
2237-9622,Epidemiologia e Serviços de Saúde,"HEALTH CARE SCIENCES & SERVICES; HEALTH POLICY & SERVICES; Health Sciences; INFECTIOUS DISEASES; MEDICINE, GENERAL & INTERNAL; en; es; pt"
1414-8145,Escola Anna Nery,Health Sciences; NURSING; en; es; pt
0101-546X,Estudos Afro-Asiáticos,"CULTURAL STUDIES; HUMANITIES, MULTIDISCIPLINARY; Human Sciences; SOCIOLOGY; pt"
0103-4014,Estudos Avançados,"CULTURAL STUDIES; Human Sciences; SOCIAL SCIENCES, INTERDISCIPLINARY; en; fr; pt"
0101-4161,Estudos Econômicos (São Paulo),Applied Social Sciences; ECONOMICS; en; pt
0103-2186,Estudos Históricos (Rio de Janeiro),"HISTORY; HUMANITIES, MULTIDISCIPLINARY; Human Sciences; pt"
2316-4018,Estudos de Literatura Brasileira Contemporânea,"LITERATURE; Linguistics, Letters and Arts; en; es; pt"
0103-166X,Estudos de Psicologia (Campinas),"Human Sciences; PSYCHOLOGY, MULTIDISCIPLINARY; en; es; fr; pt"
1413-294X,Estudos de Psicologia (Natal),"Human Sciences; PSYCHOLOGY, MULTIDISCIPLINARY; pt"
1984-8234,Filosofia Unisinos,Human Sciences; PHILOSOPHY; en; es; pt
1809-2950,Fisioterapia e Pesquisa,Health Sciences; ORTHOPEDICS; REHABILITATION; en; es; pt
0103-5150,Fisioterapia em Movimento,Health Sciences; ORTHOPEDICS; REHABILITATION; en; pt
0100-4158,Fitopatologia Brasileira,AGRONOMY; Agricultural Sciences; PLANT SCIENCES; en; es; pt
2179-8087,Floresta e Ambiente,Agricultural Sciences; PLANT SCIENCES; en; es; pt
0101-2061,Food Science and Technology,Agricultural Sciences; FOOD SCIENCE & TECHNOLOGY; en; pt
1984-0292,Fractal: Revista de Psicologia,"Human Sciences; PSYCHOLOGY, MULTIDISCIPLINARY; en; pt"
3085-8909,Fruit Crops Science Journal,AGRICULTURAL ENGINEERING; Agricultural Sciences; en; es; pt
2179-0892,GEOUSP,GEOGRAPHY; Human Sciences; en; es; fr; pt
1982-2553,Galáxia (São Paulo),Applied Social Sciences; COMMUNICATION; LANGUAGE & LINGUISTICS; en; es; fr; it; pt
1415-4757,Genetics and Molecular Biology,BIOCHEMISTRY & MOLECULAR BIOLOGY; Biological Sciences; GENETICS & HEREDITY; en
2594-5033,Geopauta,GEOGRAPHY; Human Sciences; en; es; pt
0104-530X,Gestão & Produção,"ENGINEERING, MANUFACTURING; Engineering; en; es; pt"
2358-4114,Gragoatá,"LANGUAGE & LINGUISTICS; LINGUISTICS; Linguistics, Letters and Arts; en; es; pt"
2531-1379,"Hematology, Transfusion and Cell Therapy","Health Sciences; MEDICINE, GENERAL & INTERNAL; en; es; pt"
0101-9074,História (São Paulo),HISTORY; Human Sciences; en; es; fr; it; pt
2236-3459,História da Educação,EDUCATION & EDUCATIONAL RESEARCH; Human Sciences; en; es; fr; it; pt
1983-9928,História da Historiografia,HISTORY; Human Sciences; en; es; pt
0104-5970,"História, Ciências, Saúde-Manguinhos",HISTORY & PHILOSOPHY OF SCIENCE; Health Sciences; Human Sciences; en; es; fr; pt
2236-8906,Hoehnea,Biological Sciences; PLANT SCIENCES; en; es; pt
0104-7183,Horizontes Antropológicos,"ANTHROPOLOGY; Human Sciences; SOCIAL SCIENCES, INTERDISCIPLINARY; en; es; fr; pt"
0102-0536,Horticultura Brasileira,Agricultural Sciences; HORTICULTURE; en; es; pt
0073-4721,Iheringia. Série Zoologia,Biological Sciences; ZOOLOGY; en; pt
2175-8026,Ilha do Desterro,"LANGUAGE & LINGUISTICS; LITERATURE, AMERICAN; LITERATURE, BRITISH ISLES; Linguistics, Letters and Arts; en; es; pt"
1518-7012,Interações (Campo Grande),Applied Social Sciences; BUSINESS; Human Sciences; PLANNING & DEVELOPMENT; en; es; fr; pt
1809-5844,Intercom: Revista Brasileira de Ciências da Comunicação,Applied Social Sciences; COMMUNICATION; en; es; pt
1414-3283,"Interface - Comunicação, Saúde, Educação","EDUCATION & EDUCATIONAL RESEARCH; Health Sciences; Human Sciences; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; en; es; pt"
1809-4864,International Archives of Otorhinolaryngology,Health Sciences; OTORHINOLARYNGOLOGY; en; es; pt
2359-5647,International Journal of Cardiovascular Sciences,CARDIAC & CARDIOVASCULAR SYSTEMS; Health Sciences; en; pt
1677-5538,International braz j urol,Health Sciences; UROLOGY & NEPHROLOGY; en; pt
1807-1775,JISTEM - Journal of Information Systems and Technology Management,"Applied Social Sciences; COMPUTER SCIENCE, INFORMATION SYSTEMS; en; es; fr; pt"
1676-2444,Jornal Brasileiro de Patologia e Medicina Laboratorial,"Health Sciences; MEDICAL LABORATORY TECHNOLOGY; MEDICINE, RESEARCH & EXPERIMENTAL; PATHOLOGY; en; pt"
1806-3713,Jornal Brasileiro de Pneumologia,Health Sciences; RESPIRATORY SYSTEM; en; es; pt
0047-2085,Jornal Brasileiro de Psiquiatria,Health Sciences; PSYCHIATRY; en; pt
1677-5449,Jornal Vascular Brasileiro,CARDIAC & CARDIOVASCULAR SYSTEMS; Health Sciences; PERIPHERAL VASCULAR DISEASE; SURGERY; en; es; pt
2179-6491,Jornal da Sociedade Brasileira de Fonoaudiologia,Health Sciences; en; es; pt
0021-7557,Jornal de Pediatria,Health Sciences; PEDIATRICS; en; es; pt
0102-3586,Jornal de Pneumologia,Health Sciences; RESPIRATORY SYSTEM; pt
2175-9146,Journal of Aerospace Technology and Management,"ENGINEERING, AEROSPACE; Engineering; en; es; pt"
1678-7757,Journal of Applied Oral Science,"DENTISTRY, ORAL SURGERY & MEDICINE; Health Sciences; en"
2237-9363,Journal of Coloproctology (Rio de Janeiro),GASTROENTEROLOGY & HEPATOLOGY; Health Sciences; SURGERY; en; es; pt
1676-2649,Journal of Epilepsy and Clinical Neurophysiology,CLINICAL NEUROLOGY; Health Sciences; NEUROSCIENCES; PHYSIOLOGY; en; es; pt
2326-4594,Journal of Inborn Errors of Metabolism and Screening,GENETICS & HEREDITY; Health Sciences; en; es; pt
2179-1074,"Journal of Microwaves, Optoelectronics and Electromagnetic Applications","ENGINEERING, ELECTRICAL & ELECTRONIC; Engineering; OPTICS; en"
2448-2455,Journal of Physical Education,"EDUCATION, SCIENTIFIC DISCIPLINES; Health Sciences; en; es; pt"
2317-1537,Journal of Seed Science,Agricultural Sciences; PLANT SCIENCES; en; pt
2238-1031,Journal of Transport Literature,Engineering; TRANSPORTATION; TRANSPORTATION SCIENCE & TECHNOLOGY; en; es; pt
0104-7930,Journal of Venomous Animals and Toxins,Agricultural Sciences; Biological Sciences; TOXICOLOGY; TROPICAL MEDICINE; en
1678-9199,Journal of Venomous Animals and Toxins including Tropical Diseases,Agricultural Sciences; Biological Sciences; Health Sciences; TOXICOLOGY; TROPICAL MEDICINE; en
0103-5053,Journal of the Brazilian Chemical Society,"CHEMISTRY, MULTIDISCIPLINARY; Exact and Earth Sciences; en; pt"
0104-6500,Journal of the Brazilian Computer Society,"COMPUTER SCIENCE, INFORMATION SYSTEMS; Exact and Earth Sciences; en"
0100-7386,Journal of the Brazilian Society of Mechanical Sciences,"ENGINEERING, MECHANICAL; Engineering; Exact and Earth Sciences; en"
1678-5878,Journal of the Brazilian Society of Mechanical Sciences and Engineering,"ENGINEERING, MECHANICAL; Engineering; Exact and Earth Sciences; en"
0100-512X,Kriterion: Revista de Filosofia,Human Sciences; PHILOSOPHY; en; es; fr; pt
1679-7825,Latin American Journal of Solids and Structures,"ENGINEERING, CIVIL; ENGINEERING, MECHANICAL; Engineering; MECHANICS; en; es; pt"
1984-7726,Letras de Hoje,"LANGUAGE & LINGUISTICS; Linguistics, Letters and Arts; en; es; fr"
1518-7632,Linguagem em (Dis)curso,"LINGUISTICS; Linguistics, Letters and Arts; en; es; fr; pt"
1983-6821,Machado de Assis em Linha,"LITERATURE; Linguistics, Letters and Arts; en; es; pt"
0104-9313,Mana,ANTHROPOLOGY; Human Sciences; en; es; pt
0100-6045,Manuscrito,Human Sciences; PHILOSOPHY; en; es; fr; pt
1516-1439,Materials Research,"ENGINEERING, CHEMICAL; Engineering; MATERIALS SCIENCE, MULTIDISCIPLINARY; METALLURGY & METALLURGICAL ENGINEERING; en"
1517-7076,Matéria (Rio de Janeiro),"CONSTRUCTION & BUILDING TECHNOLOGY; Engineering; MATERIALS SCIENCE, MULTIDISCIPLINARY; METALLURGY & METALLURGICAL ENGINEERING; en; es; pt"
2176-6665,Mediações,Human Sciences; SOCIOLOGY; en; es; pt
2358-0429,MedicalExpress,HEALTH CARE SCIENCES & SERVICES; Health Sciences; en; es; pt
0074-0276,Memórias do Instituto Oswaldo Cruz,Biological Sciences; Health Sciences; PARASITOLOGY; TROPICAL MEDICINE; de; en; fr; pt
1984-2201,Mercator (Fortaleza),"GEOGRAPHY; GEOGRAPHY, PHYSICAL; Human Sciences; en; es; fr; pt"
1980-6574,Motriz: Revista de Educação Física,Health Sciences; SPORT SCIENCES; de; en; es; fr; pt
0104-6497,Nauplius,Biological Sciences; ZOOLOGY; en
1519-566X,Neotropical Entomology,Biological Sciences; ENTOMOLOGY; en; es; pt
1679-6225,Neotropical Ichthyology,Biological Sciences; ZOOLOGY; en
0103-6351,Nova Economia,Applied Social Sciences; ECONOMICS; pt
2675-2824,Ocean and Coastal Research,Exact and Earth Sciences; OCEANOGRAPHY; en; es; pt
1517-7017,Opus (Associação Nacional de Pesquisa e Pós-Graduação em Música),"ART; Linguistics, Letters and Arts; en; pt"
1984-9230,Organizações & Sociedade,Applied Social Sciences; MANAGEMENT; SOCIOLOGY; en; es; pt
2447-536X,Ornamental Horticulture,AGRONOMY; Agricultural Sciences; en; es; pt
0103-863X,Paidéia (Ribeirão Preto),"Human Sciences; PSYCHOLOGY; PSYCHOLOGY, EDUCATIONAL; PSYCHOLOGY, MULTIDISCIPLINARY; de; en; es; fr; pt"
1982-8837,Pandaemonium Germanicum,"LANGUAGE & LINGUISTICS; LITERATURE, GERMAN, DUTCH, SCANDINAVIAN; Linguistics, Letters and Arts; de; en; es; pt"
0031-1049,Papéis Avulsos de Zoologia,Biological Sciences; ZOOLOGY; en; es; pt
1517-7599,Per Musi,"Linguistics, Letters and Arts; MUSIC; en; es; pt"
2176-8757,Perspectiva Teológica,"HUMANITIES, MULTIDISCIPLINARY; Human Sciences; en; es; it; pt"
1413-9936,Perspectivas em Ciência da Informação,Applied Social Sciences; INFORMATION SCIENCE & LIBRARY SCIENCE; pt
0100-204X,Pesquisa Agropecuária Brasileira,"AGRICULTURE, DAIRY & ANIMAL SCIENCE; AGRICULTURE, MULTIDISCIPLINARY; Agricultural Sciences; en; es; pt"
1983-4063,Pesquisa Agropecuária Tropical,"AGRICULTURE, MULTIDISCIPLINARY; AGRONOMY; Agricultural Sciences; en; es; pt"
1983-4632,Pesquisa Brasileira em Odontopediatria e Clínica Integrada,"DENTISTRY, ORAL SURGERY & MEDICINE; Health Sciences; en; es; pt"
1517-7491,Pesquisa Odontológica Brasileira,"DENTISTRY, ORAL SURGERY & MEDICINE; Health Sciences; en; pt"
0101-7438,Pesquisa Operacional,Engineering; OPERATIONS RESEARCH & MANAGEMENT SCIENCE; en; es; pt
0100-736X,Pesquisa Veterinária Brasileira,Agricultural Sciences; VETERINARY SCIENCES; en; pt
0103-7331,Physis: Revista de Saúde Coletiva,"Health Sciences; Human Sciences; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; en; pt"
0100-8358,Planta Daninha,Agricultural Sciences; PLANT SCIENCES; en; es; pt
0104-1428,Polímeros,Engineering; POLYMER SCIENCE; pt
0103-7307,Pro-Posições,EDUCATION & EDUCATIONAL RESEARCH; Human Sciences; en; es; fr; pt
0103-6513,Production,"ENGINEERING, MANUFACTURING; Engineering; en; pt"
0104-5687,Pró-Fono Revista de Atualização Científica,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY; Health Sciences; REHABILITATION; en; pt
1413-8271,Psico-USF,"Human Sciences; PSYCHOLOGY, MULTIDISCIPLINARY; en; es; pt"
0102-7182,Psicologia & Sociedade,"Human Sciences; PSYCHOLOGY, SOCIAL; en; es; fr; pt"
0103-5665,Psicologia Clínica,"Human Sciences; PSYCHOLOGY, CLINICAL; en; pt"
