pid,title,title_en,authors,affiliations,year,issn,journal_title,abstract_pt,abstract_en,doi,document_type,language,has_fulltext_xml
S0034-76122020000401161,Da Bíblia de Gutenberg à COVID-19,From the Gutenberg Bible to COVID-19,Carlos Ivan Simonsen Leal,"Presidente da Fundação Getulio Vargas, Brazil",2020,0034-7612,Revista de Administração Pública,"Resumo O mundo após a COVID-19 será diferente do mundo de antes, não apenas do ponto de vista dos desafios econômicos, mas também na perspectiva da geopolítica. A globalização tenderá a ser revertida, com claras implicações para a posição dos vários países. O fenômeno da expansão do uso generalizado da tecnologia da informação marcará a dinâmica de vários países, inclusive do Brasil. A academia precisa refletir sobre estratégias de longo prazo para criar empregos e sustentar a empregabilidade enquanto a estrutura da economia se modifica.","Abstract The world after the COVID-19 pandemic will change, from the perspective of both geopolitical and economic challenges. There will be a tendency for globalization to reverse, affecting the international position of several countries. The phenomenon of expanding the heavy use of information technology will mark the dynamics of many countries, including Brazil. Therefore, academia has to reflect on long-term strategies to create and maintain jobs while the economic structure changes.",10.1590/0034-761220200651,research-article,pt,1
S0034-76122020000501166,Administração (a)política? O retrato e os fatores de seleção do dirigente público,(A)Political administration? The public manager&#8217;s portrait and selection factors,David Ferraz,"Centro de Administração e Políticas Públicas, Universidade de Lisboa, Portugal; Escola de Sociologia e Políticas Públicas, Instituto Universitário de Lisboa, Portugal",2020,1982-3134,Revista de Administração Pública,"Resumo Este artigo centra-se na problemática sobre como os atores políticos e administrativos se relacionam, concentrando-se na seleção de altos funcionários públicos como peças-chave no processo de implementação de políticas públicas. Em relação à metodologia adotada, foram realizadas uma revisão da literatura e uma análise documental, bem como a aplicação de um questionário on-line para altos funcionários que ocupavam cargos gerenciais entre 2004 e 2011 (n = 964). Em todas as análises, foram considerados estatisticamente significativos os resultados dos testes de hipóteses, com um valor de p igual ou inferior a .05 (p &#8804; .05). A análise permitiu confirmar dois componentes/critérios principais que estão na fonte da seleção de altos funcionários públicos (políticos e profissionais) e, dentro de cada um, os respetivos fatores que os compõem. Pudemos reconhecer que o componente político tem seu peso, mas não foi possível confirmar completamente a hipótese de que, em Portugal, os fatores que influenciaram a seleção de altos funcionários públicos eram predominantemente políticos.","Abstract This article addresses the issue of how political and administrative actors relate to each other, focusing on the selection of Senior Civil Servants as key actors to implement public policies. A literature review and documental analysis were carried out, and an on-line questionnaire was applied to Senior Civil Servants in managerial positions in Portugal between 2004 and 2011 (n = 964). The results show that, in all cases, the p-value was equal or less than .05 (p &#8804; .05). The analysis allowed us to confirm two main criteria used for the selection of Senior Civil Servants (political and professional) and their respective factors. Despite indicating that the political criterion somehow plays a role in the selection of public officials in Portugal, the study could not confirm the hypothesis that political factors are predominant when hiring senior civil servants in the country.",10.1590/0034-761220190417,research-article,pt,1
S0034-76122020000501188,(Ir)responsabilidade social empresarial: uma avaliação do desastre de Mariana-MG,Corporate social (ir)responsibility: an analysis of the disaster in Mariana-Brazil,Mirian Albert Pires; Luciana Mourão; Fátima Bayma de Oliveira; Jose Antonio Puppim de Oliveira,"Departamento de Ciências Contábeis, Universidade Federal do Espírito Santo, Brazil; Escola Brasileira de Administração Pública e de Empresas, Fundação Getulio Vargas, Brazil; Escola de Administração de Empresas de São Paulo, Fundação Getulio Vargas, Brazil; Programa de Pós-Graduação em Psicologia, Universidade Salgado de Oliveira, Brazil",2020,1982-3134,Revista de Administração Pública,"Resumo A temática irresponsabilidade social empresarial (IrSE) ganhou destaque na literatura mundial. No Brasil, o desastre causado pela Samarco Mineração S.A. em 2015 foi alvo de repercussão, constituindo uma oportunidade para estudar a IrSE. O objetivo deste estudo foi investigar se a identificação social com a empresa, que surge em função dos benefícios econômicos, reduz a intenção punitiva e a atribuição de culpa. O instrumento de pesquisa contém escalas com indicadores psicométricos aplicados a 1.616 indivíduos. Constatou-se que os benefícios para a economia local reduziram a intenção punitiva nas cidades de Anchieta-ES, Guarapari-ES e Mariana-MG. O que não ocorreu nas cidades de Colatina-ES e Linhares-ES, que não recebem benefícios econômicos, mas foram afetadas pelo desastre. Identificou-se, ainda, que a severidade do evento aumentou a atribuição de culpa e a intenção punitiva aumentou a intenção de comentários negativos. Como principal conclusão, onde a empresa gerou benefícios, as pessoas estavam menos propensas a puni-la.","Abstract The issue of corporate social irresponsibility (CSIR) has gained prominence in world literature. This study analyzes the 2015 environmental disaster caused by Samarco Mineração S.A. in Mariana (MG), Brazil, as an example of CSIR. The objective was to understand whether the population&#8217;s social identification with the company, which is translated into the economic benefits, reduced punitive intention, and blame attribution. The research instrument uses scales with psychometric indicators applied to 1,616 individuals. It was verified that the benefits to the local economy reduced the punitive intention in the municipalities of Anchieta and Guarapari (ES), and Mariana (MG). This was not the case for Colatina and Linhares (ES). Also, it was observed that the disaster&#8217;s severity increased blame attribution, and the punitive intention increased the intention to engage in negative word-of-mouth (WOM) about the company. As the main conclusion, people were less likely to punish the company in the municipalities where it generated economic benefits.",10.1590/0034-761220190153,research-article,pt,1
S0034-76122020000501207,Economia compartilhada e governança pública,Sharing economy and public governance,Adilson Giovanini,"Universidade do Estado de Santa Catarina, Brazil",2020,1982-3134,Revista de Administração Pública,"Resumo O termo economia compartilhada é empregado na literatura especializada para identificar a forma como a internet, os smartphones e os aplicativos estão modificando a dinâmica econômica mundial. Este artigo apresenta uma pesquisa documental realizada para identificar os aplicativos de compartilhamento que surgiram nas últimas décadas e o modo como estão contribuindo para a melhoria da gestão pública local. Utilizou-se a análise descritiva dos dados e uma regressão para caracterizar a adesão às novas tecnologias pelos governos locais e para identificar o modo como afetam o desempenho fiscal dos municípios, mensurado a partir do Índice FIRJAN de Gestão Fiscal (IFGF). Os resultados obtidos mostram que os aplicativos de economia compartilhada podem contribuir de diferentes formas, com destaque para: a maior cooperação e coordenação intra e entre governos locais, redução na subutilização de ativos, maior acesso e melhoria na qualidade dos serviços públicos, e maior interação e participação dos cidadãos nas decisões públicas. A regressão estimada mostra que o emprego das novas tecnologias de comunicação contribui para a melhoria no desempenho fiscal dos municípios. Contudo, essas tecnologias são pouco utilizadas, sendo necessárias iniciativas que estimulem a utilização de aplicativos de compartilhamento nas gestões públicas locais.","Abstract The term sharing economy is used in specialized literature to identify how the Internet, smartphones, and applications are changing the global economic dynamic. This article presents documentary research focused on private sharing applications that have emerged in recent decades, intending to contribute to the improvement of local public management. Descriptive data analysis and regression were used to characterize the local governments&#8217; adherence to new technologies and to identify how these new technologies affect the fiscal performance of municipalities measured by the FIRJAN Fiscal Management Index. The results obtained show that shared economy Apps can contribute in different ways, with emphasis on greater cooperation and coordination within and between local governments, reduction in the underutilization of assets, greater access and improvement in the quality of public services, and greater interaction and citizen participation in public decisions. The estimated regression shows that the use of new communication technologies contributes to improving the municipalities&#8217; fiscal performance. However, these technologies are little used and should be encouraged in local public administrations.",10.1590/0034-761220190080,research-article,pt,1
S0034-76122020000501239,A cooperação intermunicipal no Brasil: o caso dos consórcios de resíduos sólidos,Inter-municipal cooperation in Brazil: the case of solid waste consortia,Dituzaya Panguila da Silva; Hugo Consciência Silvestre; Alfa Aliu Embalo,"Instituto Superior de Educação e Ciências de Lisboa, Portugal; Instituto Universitário de Lisboa-ISCTE, Portugal; Núcleo de Políticas &amp; Administração Pública, Universidade da Integração Internacional da Lusofonia Afro-brasileira, Brazil",2020,1982-3134,Revista de Administração Pública,"Resumo Esta pesquisa tem como principal objetivo descrever a relação entre a utilização dos consórcios com os custos da cooperação pública e de seu financiamento por parte dos municípios. Pela utilização do desenho de pesquisa de caso múltiplo, selecionaram-se três consórcios a atuar no setor dos resíduos sólidos no Brasil, compreendendo o intervalo de anos entre 2013 e 2017. Em geral, é possível concluir que os custos com os consórcios e dos municípios aumentaram durante o período. Pela estimativa de parâmetros, estima-se que os consórcios possibilitam a redução desses custos. Conclui-se ainda que governos locais de menor dimensão, em número de habitantes e área servida, são mais propensos a potenciar os efeitos da cooperação pública. Implicações teóricas e práticas serão apresentadas e discutidas ao longo do texto.","Abstract This article aims to describe the engagement of local governments in intermunicipal cooperation and the costs of these arrangements for municipalities. Based on a multiple-case research design, three consortia operating in the Brazilian solid waste sector between 2013 and 2017 were selected and examined. The main findings show that the costs of the intermunicipal cooperation and the costs related to the participation of the municipality in these arrangements increased in the period. However, a parameter estimator calculation shows that such costs are likely to be reduced in the near future. It can also be concluded that smaller local governments (either by population or by km2) are more likely to benefit from intermunicipal cooperation. The study discusses both theoretical and practical implications.",10.1590/0034-761220180151,research-article,pt,1
S0034-76122020000501260,Gestão de projetos no contexto público: mapeamento do campo de investigação,Project management in the public context: research field mapping,José da Assunção Moutinho; Roque Rabechini Junior,"Programa de Pós-Graduação em Gestão de Projetos, Universidade Nove de Julho, Brazil; Universidade do Estado do Rio de Janeiro, Brazil",2020,0034-7612,Revista de Administração Pública,"Resumo O advento da Nova Gestão Pública introduziu o conceito de gestão de projetos, até então exclusivo do setor privado, abrindo caminho para o aumento da eficiência do Estado. Nesse cenário, o objetivo deste artigo é localizar, sintetizar e identificar as proximidades teóricas entre os estudos de gestão de projetos no contexto público. Para alcançá-lo, definiu-se a abordagem metodológica bibliométrica recorrendo à análise relacional de citações, realizada pelos métodos de cocitação e de pareamento bibliográfico, a fim de descobrir relações de conectividade entre as obras publicadas. As análises fatoriais exploratórias da cocitação e do pareamento conduziram a 6 fatores, indicando a estrutura intelectual e possibilitando, também, a geração de um framework de integração dos fatores a partir das citações mais frequentes. Os resultados indicaram a prevalência de estudos sobre competências em gestão de projetos e governo eletrônico. Abre-se, ainda, o leque de discussões com a apresentação de uma agenda especificamente direcionada à gestão de projetos públicos.","Abstract The advent of New Public Management introduced the concept of project management until then exclusive to the private sector, paving the way for increased state efficiency. In this scenario, this article aims to locate, synthesize, and identify the theoretical proximity among studies on project management in the public context. The bibliometric methodological approach used relational analysis of citations and the methods of cocitation and coupling to reveal the connections among the studies published. Exploratory factor analysis of cocitation and coupling led to six factors, indicating the intellectual structure, and enabling the generation of a factor integration framework from the most frequent citations. The results indicated the prevalence of studies on project management and e-government competencies. It also amplifies discussions with the presentation of an agenda directed explicitly to the management of public projects.",10.1590/0034-761220190327,research-article,pt,1
S0034-76122020000501286,Instrumentos e integração de políticas públicas: a rede do Cadastro Único,Instruments and public policy integration: the network of the Single Registry for Social Programs,Denise do Carmo Direito; Natalia Massaco Koga,"Instituto de Pesquisa Econômica e Aplicada, Brasil; Ministério da Economia, Brasil; Universidade de Brasília, Brazil",2020,0034-7612,Revista de Administração Pública,"Resumo Este artigo analisa a capacidade de integração de políticas públicas suportadas por um mesmo instrumento de implementação. Partindo da abordagem dos estudos de implementação de políticas públicas que compreendem os instrumentos como &#8220;o estado em ação&#8221;, isto é, ferramentas de ação pública por meio das quais a ação governamental se materializa e é operacionalizada (Lascoumes &amp; Le Galès, 2007; Linder &amp; Peters, 1990), examina-se o caso da Rede do Cadastro Único para Programas Sociais, formada pelo instrumento do Cadastro Único - composto por sua base de dados, normas, processos e estrutura municipal de cadastramento e coleta de dados - e pelos 20 programas sociais que se utilizam de suas informações cadastrais sobre 27 milhões de famílias, quase 80 milhões de pessoas de baixa renda, para seleção de beneficiários e gerenciamento de políticas voltadas ao combate das diferentes formas de vulnerabilidade social. Adotou-se a metodologia da análise de redes sociais para responder a duas perguntas principais: qual é a posição ocupada pelo Cadastro Único (CadÚnico) na rede de relações formada com as políticas sociais que o utilizam e quais são as condições e o nível de integração que o CadÚnico promove entre essas políticas usuárias? As métricas e os sociogramas de dois contextos temporais distintos, 2016 e 2018, demonstraram que, embora haja potencial para que promova maior integração entre as políticas, o CadÚnico ainda não se apresenta como instrumento potente de integração de políticas públicas.","Abstract This article analyzes the capacity of policy integration through implementation tools. The research builds on studies on policy implementation, which understand such tools as &#8220;the state in action,&#8221; i.e., instruments through which governments operate and deliver public services (Lascoumes &amp; Le Galès, 2007; Linder &amp; Peters, 1990). The research examines the case of the Brazilian Single Registry for Social Programs (Cadastro Único or CadUnico). The Single Registry is understood as part of a network providing social protection to the Brazilian population in social vulnerability. This work examines CadUnico as a complex system formed of a database and a set of norms and processes that work within the structure of local governments. The system gathers data used to coordinate 20 social programs, helping to select beneficiaries and manage policies that serve 27 million low-income families, reaching almost 80 million people. We adopted the social network analysis as a research method, seeking to answer two main questions: what is the position occupied by the Single Registry in the network of relationships formed by the federal social policies which use it, and what are the conditions and the level of integration which it promotes among these federal user policies? The metrics and sociograms of two distinct timeframes, 2016 and 2018, have demonstrated that, although the Single Register for Social Programs offers elements to promote some integration among public policies, there is no evidence of its effectiveness to this end.",10.1590/0034-761220190092,research-article,pt,1
S0034-76122020000501334,Os Conselhos Nacionais de Justiça e do Ministério Público no Brasil: instrumentos de accountability?,The Brazilian Councils of Justice and Public Prosecutor's Office as Instruments of Accountability,Fábio Kerche; Vanessa Elias de Oliveira; Cláudio Gonçalves Couto,"Escola de Administração de Empresas de São Paulo, Fundação Getulio Vargas, Brasil; Fundação Casa de Rui Barbosa, Brasil; Universidade Federal do ABC, Brazil",2020,1982-3134,Revista de Administração Pública,"Resumo Em democracias, conselhos, órgãos colegiados atuantes no Sistema de Justiça possuem diferentes finalidades: reforçar a independência do Poder Judiciário e do Ministério Público (MP), incrementar a accountability em relação a juízes e promotores e/ou aprimorar a gestão da Justiça. Este artigo analisa o Conselho Nacional de Justiça (CNJ) e o Conselho Nacional do Ministério Público (CNMP), considerando principalmente os dois primeiros aspectos. No momento da criação desses órgãos, acreditava-se que ambos seriam instrumentos para aumentar a transparência e possibilitar que juízes e promotores pudessem responder por suas ações e escolhas. Nossa hipótese é que essa expectativa não se realizou. Para testá-la, analisaremos o desenho institucional do CNMP e do CNJ, apontando como a composição e a distribuição de cargos incentivam mais a independência que a accountability e apresentaremos também dados relativos ao comportamento dos Conselhos frente às denúncias disciplinares. A conclusão é que, em virtude da composição majoritária do CNJ e do CNMP por integrantes internos do Judiciário e do MP e da atuação pouco expressiva em relação à punição de juízes e promotores, os órgãos reforçam ainda mais a expressiva independência dessas instituições no Brasil.","Abstract Councils acting in the Justice System in democracies have different purposes: to strengthen the independence of the judiciary and the public prosecutor&#8217;s office, to increase accountability of judges and prosecutors, or/and to improve justice management. This article analyzes the Brazilian National Council of Justice (CNJ) and the National Council of the Brazilian Public Prosecutor&#8217;s Office (CNMP), particularly regarding their purpose as instruments of accountability. The study shows that these bodies were created as instruments to increase transparency and compel judges and prosecutors to be held accountable for their actions and choices. The hypothesis tested in this research is that the two councils did not meet this expectation. The CNJ and CNMP were analyzed for their institutional design, discussing how the composition and distribution of positions at the council encourage independence of the judges and prosecutors rather than accountability. In addition, the article offers data on the councils&#8217; decisions when accusations were presented. Finally, the analysis revealed that CNJ and CNMP are mainly composed of internal members of the Judiciary and the Public Prosecutor&#8217;s Office, and identified a lack of expressive punishment applied to judges and prosecutors. Therefore, the hypothesis that the councils do not work as instruments of accountability was confirmed.",10.1590/0034-7612201900212,research-article,pt,1
S0034-76122020000501361,Práticas de barganha política por meio da execução orçamentária federal,Political bargaining practices through federal budget execution,Luis Henrique Teixeira Graton; Carlos Alberto Grespan Bonacim; Sérgio Naruhiko Sakurai,"Faculdade de Economia, Administração e Contabilidade, Universidade de São Paulo, Brazil; Faculdade de Filosofia, Ciências e Letras de Ituverava, Brasil",2020,1982-3134,Revista de Administração Pública,"Resumo O processo orçamentário brasileiro tem sido historicamente questionado pela suposta presença de barganha política na inclusão e na execução de emendas ao orçamento, fato que interfere nas premissas, nos critérios e nas práticas das escolhas alocativas. Este artigo, sustentado pela Teoria da Formação de Coalizões, investiga a existência de uma possível relação de barganha política entre os poderes Executivo e Legislativo no processo orçamentário na esfera federal. Tal pesquisa ocorre por meio da análise das execuções de emendas parlamentares singulares ao longo de cinco legislaturas (entre 2000 e 2017) e das decisões dos deputados na votação de projetos propostos pelo Executivo. Analisaram-se dados referentes à execução de emendas singulares, bem como aqueles concernentes à posição política do parlamentar com relação ao Executivo no instante da proposição das emendas. A metodologia envolveu técnicas econométricas que lidam com a correção do viés de seleção para avaliar a presença ou não da referida relação de barganha. Os resultados obtidos corroboram a hipótese de existência de barganha política entre os poderes Executivo e Legislativo, pois o parlamentar com maior aporte de execução de suas emendas singulares foi aquele que, além de ter exercido apoio ao Executivo através de votos favoráveis aos projetos enviados ao congresso nacional, era de fora da coligação de governo, alvo do Executivo na formação do quorum mínimo para a aprovação de seus projetos.","Abstract The Brazilian budgetary process has historically been questioned based on the alleged use of political bargaining in the inclusion and implementation of amendments from deputies to the executive&#8217;s budget, which affects the principles, criteria, and practices of allocative choices. Supported by the theory of coalition formation, this article examines a possible political bargaining relationship between the executive and legislative branches in the budgetary process at the federal level. The study analyzed the execution of amendments from deputies over five mandates (between 2000 and 2017) and the deputies&#8217; votes on projects proposed by the executive. Data regarding the execution of singular amendments were also analyzed, together with information concerning the deputies&#8217; political position toward the executive when proposing amendments. Econometric techniques were employed to correct selection bias, assessing the presence of political bargaining. The results corroborate the hypothesis that there is political bargaining in the relationship between the executive and legislative branches in Brazil. The deputy who had more of their amendments executed by the government was also the one that voted with the government in the bills sent from the executive to the legislative, even though they were not part of the governing coalition in the Congress. Therefore, the executive targeted deputies who were not part of the governing coalition to increase the number of votes in Congress.",10.1590/0034-761220190399,research-article,pt,1
S0034-76122020000501382,"Transparência, corrupção e má gestão: uma análise dos municípios brasileiros","Transparency, corruption, and mismanagement: an analysis of Brazilian municipalities",Mariana Batista; Virginia Rocha; José Luiz Alves dos Santos,"Departamento de Ciência Política, Universidade Federal de Pernambuco, Brazil; Graduação em Ciência Política, Universidade Federal de Pernambuco, Brazil; Programa de Pós-Graduação em Ciência Política, Universidade Federal de Pernambuco, Brazil",2020,1982-3134,Revista de Administração Pública,"Artigo Compromisso institucional com a transparência pública tem relação negativa com corrupção e má gestão governamental? A instituição de Lei de Acesso à Informação (LAI) reduz o custo de acesso à informação pública e o controle dos governantes sobre ela, possibilitando o monitoramento do governo. Assim, maior transparência melhoraria a performance governamental. Para testar a hipótese, usamos modelos de regressão linear para 320 municípios brasileiros. Empregamos 3 medidas do compromisso institucional dos municípios com a transparência pública: a) a regulamentação da LAI no município; b) o grau de regulamentação com base nos dispositivos da LAI em nível local; e c) o tempo de adesão como medida de institucionalização da transparência pública. Como medida de performance, consideramos irregularidades de corrupção e má gestão identificadas nos relatórios de auditorias da Controladoria-Geral da União via sorteios públicos (2011-2015), com classificação usando aprendizado de máquina não supervisionado. Os resultados da análise são 3: a) a adesão dos municípios à LAI ainda é muito reduzida; b) nos municípios que aderiram, transparência não apresenta associação com a performance governamental; e c) apenas desenvolvimento econômico e qualidade da burocracia apresentam correlação negativa com o número de irregularidades. Os resultados indicam que o esforço na direção de uma gestão mais transparente ainda não gerou os resultados esperados.","Abstract Does institutional commitment to public transparency reduce corruption and public mismanagement? The regulation of freedom of information laws (FOI) reduces the cost of accessing public information and the control of government officials over it, allowing for monitoring of the government. Thus, greater transparency improves government performance. To test the hypothesis, we used linear regression models for 320 Brazilian municipalities. We employ three measures of municipality institutional commitment to public transparency: FOI regulation in the municipality; the degree to which the local level regulation was based on the national law&#8217;s provisions; and time the municipality took to adhere to the legislation, as a measure of institutionalization of public transparency. As a performance measure, we consider corruption and mismanagement irregularities identified in the audit reports of the Comptroller General of Brazil (2011-2015), with classification using unsupervised machine learning. The results are threefold: the municipalities&#8217; adherence to FOI is still very low; in the municipalities that regulated the law locally, transparency is not seen to be associated with government performance; only economic development and quality of bureaucracy have a negative correlation with the number of irregularities. These results indicate that the effort towards more transparent management has not yet generated the expected results.",10.1590/0034-761220190290,research-article,pt,1
S0034-76122020000501402,Ações dos Tribunais de Contas no enfrentamento dos efeitos do coronavírus,Actions by the Courts of Accounts to minimize effects of coronavirus,Flávia de Oliveira Ribeiro; Jonatas Dutra Sallaberry; Edicreia Andrade dos Santos; Gabriela de Oliveira Domingos Tavares,"Departamento de Ciências Contábeis, Universidade Federal do Paraná, Brazil; Departamento de Direito, Universidade Estadual de Maringá, Brazil; Programa de Mestrado em Ciências Contábeis, Universidade Federal do Mato Grosso do Sul, Brazil; Programa de Pós-Graduação em Contabilidade, Universidade Federal de Santa Catarina, Brazil",2020,0034-7612,Revista de Administração Pública,"Resumo Este estudo visa evidenciar os esforços empreendidos pelos Tribunais de Contas (TCs) brasileiros no período de pandemia do coronavírus a fim de colaborar com seus jurisdicionados, seus servidores e a sociedade para o enfrentamento de seus efeitos. Realizou-se pesquisa descritiva, com abordagem qualitativa, por meio de análise das legislações emitidas pelos TCs, para avaliação das ações tomadas por eles. Entre os achados, destacam-se as ações de âmbito interno e pedagógicas empreendidas na forma de medidas destinadas ao público externo (como a limitação no atendimento presencial), à suspensão de eventos coletivos, de reuniões presenciais e viagens, à adoção de teletrabalho, ao contingenciamento de despesas, cursos à distância etc. Entre as ações processuais, destacam-se as suspensões de Sessões Plenárias ou das Câmaras, dos prazos processuais e da remessa das prestações de contas. Por fim, no tocante às ações orientativas e de monitoramento empreendidas pelos TCs, constatou-se que foi elaborada uma série de diretrizes e recomendações em relação às práticas adotadas pelos órgãos de controle externo de modo colaborativo aos demais poderes, de modo orientar os gastos públicos, a aquisição e a contratação de serviços com dispensa de licitação, entre outros riscos. Conclui-se que o conjunto de medidas implementadas pelos TCs demonstra mudança no status tradicional de controle posterior das contas públicas, que enseja uma atuação punitiva para um controle prévio e concomitante, por meio de recomendações, fiscalizações e monitoramento, quando o gestor ainda dispõe de instrumentos para corrigir eventuais erros e evitar o desperdício e a má aplicação do recurso público.","Abstract This study aims to highlight the efforts made by the Brazilian Courts of Accounts (CAs) during the COVID-19 pandemic to collaborate with its jurisdictional authorities, civil servants, and society to face its effects. Descriptive and qualitative research was carried out, analyzing the legislation issued by the CAs to evaluate their actions. Among the findings, it was observed that the CAs took administrative and pedagogical measures to protect the public, such as the suspension or restriction of face-to-face service. Also, the courts suspended collective events, face-to-face meetings, and travel, adopted telework, limited expenditures and distance learning courses. Among the procedural measures, Plenary Sessions or Chambers, procedural deadlines, and remittance of accounts were suspended. Finally, the activities of guidance and monitoring were conducted under a series of guidelines and recommendations created collaboratively with other agencies and branches of government, guiding public spending, the acquisition and contracting of services with no bidding requirements, among other procedures. It is concluded that the set of measures implemented by the CAs shows a change in the traditional status of subsequent control of public accounts - which gives rise to punitive action - for prior and concurrent control, with recommendations, inspections, and monitoring, when the manager still has instruments to amend errors and avoid waste and misapplication of public resources.",10.1590/0034-761220200244,research-article,pt,1
S0034-76122020000501417,Elaboração de uma metodologia baseada em estatística para encaminhamento dos casos da COVID-19,Statistical method to determine the need for hospitalization of COVID-19 patients,Fernando Freire Vasconcelos; Heber José de Moura,"Faculdade de Economia, Administração e Contabilidade, Universidade de São Paulo, Brazil; Programa de Pós-Graduação Profissional em Administração de Empresas, Uiversidade de Fortaleza, Brazil",2020,1982-3134,Revista de Administração Pública,"Resumo A taxa de crescimento da COVID-19 é preocupante em todo o mundo. O desenvolvimento de métodos indiretos para direcionar as internações hospitalares somente para os casos necessários é de fundamental importância para impedir superlotação do sistema de saúde. O objetivo geral deste artigo é propor uma metodologia estatística, baseada na regressão logística, capaz de indicar se um paciente que testou positivo para COVID-19 deve ser direcionado ao isolamento domiciliar ou ficar internado no hospital com base em exames básicos de sangue e na idade. Os dados partiram de 5.645 testes de sangue de pacientes no período de março e abril de 2020. Com a utilização das variáveis independentes proteína C-reativa, neutrophils, monocytes e idade do paciente acometido pela COVID-19, pode-se prever com razoável grau de precisão se, ao chegar ao hospital e testar positivo, o indivíduo deve ser recomendado a ficar recolhido em sua residência ou se deve ser internado numa unidade de saúde.","Abstract The growth rate of COVID-19 is causing worldwide concern. The development of indirect methods used to determine hospitalizations only for necessary cases is of fundamental importance to prevent overcrowding in the health system. The general objective of this article is to propose a statistical method, based on logistic regression, capable of indicating whether a patient who tests positive for COVID-19 should be directed to home isolation or be admitted to a hospital, based on blood tests and age. The data was collected from 5,645 blood tests of patients in March and April 2020. Based on the use of the independent variables &#8216;C-reactive protein,&#8217; &#8216;neutrophils,&#8217; and &#8216;monocytes,&#8217; as well as the age of the patient affected by COVID-19, it is possible to predict with a reasonable degree of accuracy whether, upon arriving at the hospital and testing positive, the individual should be recommended to isolate at home or be admitted to a healthcare facility.",10.1590/0034-761220200454,research-article,pt,1
S0034-76122020000501429,Ações governamentais contra o novo coronavírus: evidências dos estados brasileiros,Government actions against the new coronavirus: evidence from the Brazilian states,Bruno Marques Schaefer; Roberta Carnelos Resende; Sara de Sousa Fernandes Epitácio; Mariah Torres Aleixo,"Programa de Pós-Graduação em Antropologia Social, Universidade Federal do Rio Grande do Sul, Brasil; Programa de Pós-Graduação em Ciência Política, Universidade Federal do Rio Grande do Sul, Brazil",2020,0034-7612,Revista de Administração Pública,"Resumo Desde a declaração do estado pandêmico global em decorrência do novo coronavírus (Sars-CoV-2) pela Organização Mundial de Saúde (OMS), em 11 de março de 2020, diversas têm sido as medidas tomadas por governos ao redor do mundo em relação ao distanciamento social. No caso brasileiro, os governos estaduais anteciparam-se com a decretação de medidas de fechamento de escolas, suspensão de eventos públicos e restrição do comércio. O objetivo deste paper é analisar as diferenças entre os governos estaduais do Brasil relativamente à implementação de intervenções não farmacêuticas (NPIs) para o enfrentamento ao coronavírus, com base no cálculo de um índice de ação governamental. Tendo em vista a consecução deste objetivo geral, foram analisados 367 decretos de 25 executivos estaduais brasileiros nos dois primeiros meses da pandemia no país (final de fevereiro e final de abril). Os resultados preliminares desta análise sugerem diferentes níveis de rigor das medidas para o enfrentamento à COVID-19 por parte dos governos estaduais brasileiros, destacando-se a adoção proativa de políticas mais rigorosas de distanciamento social por alguns estados, antes mesmo da confirmação do primeiro caso da doença em seus domínios.","Abstract Since the declaration of the global pandemic due to the new coronavirus (Sars-CoV-2) by the World Health Organization (WHO), on March 11, 2020, several measures have been taken by governments around the world regarding social distancing. In Brazil, state governments took the lead in decreeing measures to close schools, suspend public events, and restrict businesses. This article aims to analyze the differences between the Brazilian state governments regarding implementing non-pharmaceutical interventions (NPIs) to combat the coronavirus, based on the calculation of a government action index. Analysis of 367 decrees of 25 state executives was conducted in the first two months of the pandemic in the country. The preliminary results of this analysis suggest different levels of rigor in measures to confront COVID-19 by Brazilian governments. Some states stood out for their proactive adoption of stricter social distancing policies, even before confirming the first case of the disease.",10.1590/0034-761220200503,research-article,pt,1
