pid,title,authors,year,journal_title,language,url_scielo,source_file,source_file_exists,input_text_hash,input_text_bytes,source_has_body,raw_fulltext_file,raw_fulltext_file_exists,raw_fulltext_hash,raw_fulltext_same_hash,raw_fulltext_has_body,agent_a_prompt_version,agent_b_prompt_version,agent_c_prompt_version
S0011-52582018000200463,O Seguro Social e a Construção da Proteção do Trabalho no Brasil,Arnaldo Provasi Lanzara,2018,Dados,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582018000200463&lng=pt,data/processed/sample_xmls/S0011-52582018000200463.xml,TRUE,eb8cc8506e83f3f5a9d84520fb7912846bc83e57efe01a35dfe176841f0db3d2,31026,FALSE,data/raw/articles_fulltext/S0011-52582018000200463.xml,TRUE,eb8cc8506e83f3f5a9d84520fb7912846bc83e57efe01a35dfe176841f0db3d2,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0011-52582024000400209,Entre a Desinstitucionalização e a Resiliência: Participação Institucional no Governo Bolsonaro,Carla de Paiva Bezerra; Debora Rezende de Almeida; Adrian Gurza Lavalle; Monika Dowbor,2024,Dados,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582024000400209&lng=pt,data/processed/sample_xmls/S0011-52582024000400209.xml,TRUE,333a3480364f81c6499e4f4ec2323a76e45108e52fbe37f443e45065ef57c293,51574,FALSE,data/raw/articles_fulltext/S0011-52582024000400209.xml,TRUE,333a3480364f81c6499e4f4ec2323a76e45108e52fbe37f443e45065ef57c293,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0011-52582025000400220,O Jovem Claude Lefort entre Socialismo e Democracia: Uma Leitura Sociológica*,Fabio Mascaro Querido,2025,Dados,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582025000400220&lng=pt,data/processed/sample_xmls/S0011-52582025000400220.xml,TRUE,69f60090f3d00f9da78a31becbf77aa0a2e67266f72a4c1af7a1aae0a43bc357,35036,FALSE,data/raw/articles_fulltext/S0011-52582025000400220.xml,TRUE,69f60090f3d00f9da78a31becbf77aa0a2e67266f72a4c1af7a1aae0a43bc357,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0011-52582025000400228,"José Maria Ibiapina, um Ultramontano Heterodoxo?*",Helga Gahyva,2025,Dados,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582025000400228&lng=pt,data/processed/sample_xmls/S0011-52582025000400228.xml,TRUE,e0ddcd908415cefb1bff060385974d2b8d35479689f205f151cb368126c2c1d3,66507,FALSE,data/raw/articles_fulltext/S0011-52582025000400228.xml,TRUE,e0ddcd908415cefb1bff060385974d2b8d35479689f205f151cb368126c2c1d3,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-73292005000200008,O Brasil e o Conselho de Segurança da Organização das Nações Unidas: dos anos 90 a 2002,Virgílio Caixeta Arraes,2005,Revista Brasileira de Política Internacional,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292005000200008&lng=pt,data/processed/sample_xmls/S0034-73292005000200008.xml,TRUE,a37ee45212e09e4ab05ed5e2e4eb0ea761278e466452f41ef4f8a312565e875e,43958,FALSE,data/raw/articles_fulltext/S0034-73292005000200008.xml,TRUE,a37ee45212e09e4ab05ed5e2e4eb0ea761278e466452f41ef4f8a312565e875e,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-73292008000100004,Aspectos da integração regional em defesa no Cone Sul,Suzeley Kalil Mathias; André Cavaller Guzzi; Renata Avelar Giannini,2008,Revista Brasileira de Política Internacional,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292008000100004&lng=pt,data/processed/sample_xmls/S0034-73292008000100004.xml,TRUE,15e68a36cf824c2d9081783c8c0cd6a3cc2e3326178a341142956e4b8a6e1809,12734,FALSE,data/raw/articles_fulltext/S0034-73292008000100004.xml,TRUE,15e68a36cf824c2d9081783c8c0cd6a3cc2e3326178a341142956e4b8a6e1809,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-73292009000100001,La Argentina y el Plan Marshall: promesas y realidades,Mario Rapoport; Claudio Spiguel,2009,Revista Brasileira de Política Internacional,es,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292009000100001&lng=pt,data/processed/sample_xmls/S0034-73292009000100001.xml,TRUE,42cf83f2a2b5262ab19b181af85a43472d240609ed43878429ca274028043da2,19819,FALSE,data/raw/articles_fulltext/S0034-73292009000100001.xml,TRUE,42cf83f2a2b5262ab19b181af85a43472d240609ed43878429ca274028043da2,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-73292009000100007,Ordem e Justiça na sociedade internacional pós-11 de Setembro,Emerson Maione de Souza,2009,Revista Brasileira de Política Internacional,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292009000100007&lng=pt,data/processed/sample_xmls/S0034-73292009000100007.xml,TRUE,8d10e48e942285c13f4ca50063799011570fee79e03e962afe345653f692153e,19036,FALSE,data/raw/articles_fulltext/S0034-73292009000100007.xml,TRUE,8d10e48e942285c13f4ca50063799011570fee79e03e962afe345653f692153e,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-73292010000300011,Parceria global emergente: Brasil e China,Niu Haibin,2010,Revista Brasileira de Política Internacional,en,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292010000300011&lng=pt,data/processed/sample_xmls/S0034-73292010000300011.xml,TRUE,94206ea1df4f5d7364514125e959fd4b09ece194f7be830a9ae3f4ee550754c8,7503,FALSE,data/raw/articles_fulltext/S0034-73292010000300011.xml,TRUE,94206ea1df4f5d7364514125e959fd4b09ece194f7be830a9ae3f4ee550754c8,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-73292011000200008,Brasil y la región: una potencia emergente y la integración regional sudamericana,Sergio Caballero Santos,2011,Revista Brasileira de Política Internacional,es,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292011000200008&lng=pt,data/processed/sample_xmls/S0034-73292011000200008.xml,TRUE,bc559a2534c16ec94d32d7070945f4e6f444fcd7f5a601024387f27666792029,16823,FALSE,data/raw/articles_fulltext/S0034-73292011000200008.xml,TRUE,bc559a2534c16ec94d32d7070945f4e6f444fcd7f5a601024387f27666792029,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-73292012000100003,Ascenso y hegemonía: pensando a las potencias emergentes desde América del Sur,Luis L. Schenoni,2012,Revista Brasileira de Política Internacional,es,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292012000100003&lng=pt,data/processed/sample_xmls/S0034-73292012000100003.xml,TRUE,a20fbde3a619b2cf6da119c609c4df92ecfdd7c4c6b6d9690fa20726111aaf04,22855,FALSE,data/raw/articles_fulltext/S0034-73292012000100003.xml,TRUE,a20fbde3a619b2cf6da119c609c4df92ecfdd7c4c6b6d9690fa20726111aaf04,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-73292012000300007,Dilema de escolha: a resposta chinesa à mudança climática,Ming-Te Hung; Tung-Chieh Tsai,2012,Revista Brasileira de Política Internacional,en,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292012000300007&lng=pt,data/processed/sample_xmls/S0034-73292012000300007.xml,TRUE,f410521c126874cd49966bce251d0ebfe8c1ede1ccfae31274318ab853bedad3,21900,FALSE,data/raw/articles_fulltext/S0034-73292012000300007.xml,TRUE,f410521c126874cd49966bce251d0ebfe8c1ede1ccfae31274318ab853bedad3,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-73292017000100203,Brazilian Foreign Policy Towards Internet Governance,Maurício Santoro; Bruno Borges,2017,Revista Brasileira de Política Internacional,en,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292017000100203&lng=pt,data/processed/sample_xmls/S0034-73292017000100203.xml,TRUE,55f710ac9649cc1f3f32a39e7ddff3afa346cdc7ef41761ed158eabea6f46249,16609,FALSE,data/raw/articles_fulltext/S0034-73292017000100203.xml,TRUE,55f710ac9649cc1f3f32a39e7ddff3afa346cdc7ef41761ed158eabea6f46249,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-73292017000100218,Clashing frames: human rights and foreign policy in the Brazilian re-democratization process,João Henrique Roriz,2017,Revista Brasileira de Política Internacional,en,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292017000100218&lng=pt,data/processed/sample_xmls/S0034-73292017000100218.xml,TRUE,e4ad611a32021fd4575e73570dc6f093dd8c8288e87b8ca352eef5285220f194,22243,FALSE,data/raw/articles_fulltext/S0034-73292017000100218.xml,TRUE,e4ad611a32021fd4575e73570dc6f093dd8c8288e87b8ca352eef5285220f194,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-73292017000200207,Explaining Defense Cooperation With Process-tracing: the Brazilian Proposal for the Creation of UNASUR South American Defense Council,Augusto W. M. Teixeira Júnior; Antonio Henrique Lucena Silva,2017,Revista Brasileira de Política Internacional,en,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292017000200207&lng=pt,data/processed/sample_xmls/S0034-73292017000200207.xml,TRUE,44cbabe6db35c1ff37d75d323d204190c5962fa32e628169ff12a6e867a10edb,23041,FALSE,data/raw/articles_fulltext/S0034-73292017000200207.xml,TRUE,44cbabe6db35c1ff37d75d323d204190c5962fa32e628169ff12a6e867a10edb,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-73292017000200208,The Brazilian participation in UNIFIL: raising Brazil&#8217;s profile in international peace and security in the Middle East?,Antonio Ruy Almeida Silva; Carlos Chagas Vianna Braga; Danilo Marcondes,2017,Revista Brasileira de Política Internacional,en,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292017000200208&lng=pt,data/processed/sample_xmls/S0034-73292017000200208.xml,TRUE,3917864759115a74bc1fac654117fa818d42deb308e233ddd9785ff3cd93c6f9,27435,FALSE,data/raw/articles_fulltext/S0034-73292017000200208.xml,TRUE,3917864759115a74bc1fac654117fa818d42deb308e233ddd9785ff3cd93c6f9,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-73292021000200208,What doesn&#8217;t kill a norm makes it stronger? Brazil&#8217;s contestation of the responsibility to protect,Francisca Costa Reis,2021,Revista Brasileira de Política Internacional,en,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292021000200208&lng=pt,data/processed/sample_xmls/S0034-73292021000200208.xml,TRUE,aca0e48b835577939e565ecfda303ee1abbe9cc153dcdd53d5c45b72a51e9718,35723,FALSE,data/raw/articles_fulltext/S0034-73292021000200208.xml,TRUE,aca0e48b835577939e565ecfda303ee1abbe9cc153dcdd53d5c45b72a51e9718,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-73292022000100205,The space left for regional integration (or lack thereof): Structural causes of institutional fragmentation in Latin America (1991-2019),Julio Cesar Cossio Rodriguez; Valentina Tâmara Haag,2022,Revista Brasileira de Política Internacional,en,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292022000100205&lng=pt,data/processed/sample_xmls/S0034-73292022000100205.xml,TRUE,341efbe0d839f3e53c1b5eb9456f7728ec2552c2c93226d5814fc72e04168220,37455,FALSE,data/raw/articles_fulltext/S0034-73292022000100205.xml,TRUE,341efbe0d839f3e53c1b5eb9456f7728ec2552c2c93226d5814fc72e04168220,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-73292023000200502,Mercosur and Environment: progress in promoting the Sustainable Development Goals and the 2030 Agenda,Regiane Nitsch Bressan; Tatiana de Souza Leite Garcia,2023,Revista Brasileira de Política Internacional,en,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292023000200502&lng=pt,data/processed/sample_xmls/S0034-73292023000200502.xml,TRUE,4e6901a96b406a57605267eca57f5ce6a94da9068edec6c93a7a858fc39607b2,14218,FALSE,data/raw/articles_fulltext/S0034-73292023000200502.xml,TRUE,4e6901a96b406a57605267eca57f5ce6a94da9068edec6c93a7a858fc39607b2,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-73292025000200604,Impact of China&#8211;Latin America Transportation Infrastructure Cooperation on Latin American Economies: A Project Data Study (2009&#8211;2023),Cao Ting,2025,Revista Brasileira de Política Internacional,en,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-73292025000200604&lng=pt,data/processed/sample_xmls/S0034-73292025000200604.xml,TRUE,413bbe06762658e29923db9f23a8b855044a1fc509ce2d22c225eb35a994c13f,26605,FALSE,data/raw/articles_fulltext/S0034-73292025000200604.xml,TRUE,413bbe06762658e29923db9f23a8b855044a1fc509ce2d22c225eb35a994c13f,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-76122006000100004,Articulação de políticas públicas a partir dos fóruns de competitividade setoriais: a experiência recente da cadeia produtiva têxtil e de confecções,Samuel A. Antero,2006,Revista de Administração Pública,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122006000100004&lng=pt,data/processed/sample_xmls/S0034-76122006000100004.xml,TRUE,3d3ada221d10343d96604f477c44741840ea045aadf09bf2f744646964d1ee3d,9474,FALSE,data/raw/articles_fulltext/S0034-76122006000100004.xml,TRUE,3d3ada221d10343d96604f477c44741840ea045aadf09bf2f744646964d1ee3d,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-76122009000100006,Redes de C&T em institutos públicos de pesquisa brasileiros: o caso do Instituto Agronômico do Paraná (Iapar),Priscilla Borgonhoni Chagas; Elisa Yoshie Ichikawa,2009,Revista de Administração Pública,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122009000100006&lng=pt,data/processed/sample_xmls/S0034-76122009000100006.xml,TRUE,3195e06bad438742f6716b9880ca012979f24400e4cc7f5c89a03b92fada74cf,13324,FALSE,data/raw/articles_fulltext/S0034-76122009000100006.xml,TRUE,3195e06bad438742f6716b9880ca012979f24400e4cc7f5c89a03b92fada74cf,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-76122009000300003,Exames de mamografia em Mato Grosso do Sul: análise da cobertura como componente de equidade,Emiliana Akiko Kohatsu; Ana Rita Barbieri; Virginia Alonso Hortale,2009,Revista de Administração Pública,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122009000300003&lng=pt,data/processed/sample_xmls/S0034-76122009000300003.xml,TRUE,b980b22a71b124769fb310d0c0f85434632a65166dbf2a55fb05d8e460990539,12294,FALSE,data/raw/articles_fulltext/S0034-76122009000300003.xml,TRUE,b980b22a71b124769fb310d0c0f85434632a65166dbf2a55fb05d8e460990539,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-76122009000600006,Accountability: já podemos traduzi-la para o português?,José Antonio Gomes de Pinho; Ana Rita Silva Sacramento,2009,Revista de Administração Pública,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122009000600006&lng=pt,data/processed/sample_xmls/S0034-76122009000600006.xml,TRUE,c539babf26f82fca0a8e8308fefd975bc949aa981e1247d628ca95de54098ee4,21826,FALSE,data/raw/articles_fulltext/S0034-76122009000600006.xml,TRUE,c539babf26f82fca0a8e8308fefd975bc949aa981e1247d628ca95de54098ee4,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-76122011000400011,A unidade dos contrários: fordismo e pós-fordismo,Fernando G. Tenório,2011,Revista de Administração Pública,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122011000400011&lng=pt,data/processed/sample_xmls/S0034-76122011000400011.xml,TRUE,6b53bb253b91fb3f09b0f02462ae2701c6450d376dc099765524c9c506ad25c3,26607,FALSE,data/raw/articles_fulltext/S0034-76122011000400011.xml,TRUE,6b53bb253b91fb3f09b0f02462ae2701c6450d376dc099765524c9c506ad25c3,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-76122014000100004,Legitimidade das organizações da sociedade civil: análise de conteúdo à luz da teoria da capacidade crítica,Morgana G. Martins Krieger; Carolina Andion,2014,Revista de Administração Pública,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122014000100004&lng=pt,data/processed/sample_xmls/S0034-76122014000100004.xml,TRUE,bf362a3bb3fadac61f7772f08818c31376251bff51f338c965adc5ebceb84054,27290,FALSE,data/raw/articles_fulltext/S0034-76122014000100004.xml,TRUE,bf362a3bb3fadac61f7772f08818c31376251bff51f338c965adc5ebceb84054,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-76122014000500011,Dificuldades e perspectivas no acesso de micro e pequenas empresas a linhas de crédito públicas: o caso de Chapecó,Vanessa Cristina Grabowski Aoki; Rosana Maria Badalotti,2014,Revista de Administração Pública,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122014000500011&lng=pt,data/processed/sample_xmls/S0034-76122014000500011.xml,TRUE,9273403f0ef5b05ca42889d2cf5ac0397c685cf218185de21c6b176ebb659dc3,20929,FALSE,data/raw/articles_fulltext/S0034-76122014000500011.xml,TRUE,9273403f0ef5b05ca42889d2cf5ac0397c685cf218185de21c6b176ebb659dc3,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-76122014000600003,Problema da falta de vagas em creches: matriz de loops e a priorização de causas de problemas complexos,José Osvaldo De Sordi; Reed Elliot Nelson; Pedro Reis Galindo,2014,Revista de Administração Pública,pt,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122014000600003&lng=pt,data/processed/sample_xmls/S0034-76122014000600003.xml,TRUE,306dcfcc6a9b015ee8f9793861444bb93e4e2e680370e15de6aca5ac05523a27,21495,FALSE,data/raw/articles_fulltext/S0034-76122014000600003.xml,TRUE,306dcfcc6a9b015ee8f9793861444bb93e4e2e680370e15de6aca5ac05523a27,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-76122015000300563,"A configuração institucional da política de esporte no Brasil: organização, evolução e dilemas",Alessandra Mendes; Adriano Codato,2015,Revista de Administração Pública,en,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122015000300563&lng=pt,data/processed/sample_xmls/S0034-76122015000300563.xml,TRUE,52135dd874e10e3534a4f7905ad0bf6c361b077efd9e57b53d63fb048ac95d84,57013,FALSE,data/raw/articles_fulltext/S0034-76122015000300563.xml,TRUE,52135dd874e10e3534a4f7905ad0bf6c361b077efd9e57b53d63fb048ac95d84,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
S0034-76122016000500745,A auditoria de custos e preços: eficácia nos serviços contratantes de defesa na Espanha,José Aguado Romero; Antonio M. López Hernández,2016,Revista de Administração Pública,en,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-76122016000500745&lng=pt,data/processed/sample_xmls/S0034-76122016000500745.xml,TRUE,d138d4f93c8f2e0caa3b4205d1a738d551472e12dd886abc1abc1025170f0ec5,16849,FALSE,data/raw/articles_fulltext/S0034-76122016000500745.xml,TRUE,d138d4f93c8f2e0caa3b4205d1a738d551472e12dd886abc1abc1025170f0ec5,TRUE,FALSE,agent_a_v1+common_schema_v1,agent_b_v1+common_schema_v1,agent_c_v1+common_schema_v1
