pid,journal_title
S0102-64452007000100007,Lua Nova: Revista de Cultura e Política
S0102-64452007000100008,Lua Nova: Revista de Cultura e Política
S0102-64452007000200002,Lua Nova: Revista de Cultura e Política
S0102-64452007000200003,Lua Nova: Revista de Cultura e Política
S0102-64452007000200004,Lua Nova: Revista de Cultura e Política
S0102-64452007000200005,Lua Nova: Revista de Cultura e Política
S0102-64452007000200006,Lua Nova: Revista de Cultura e Política
S0102-64452007000300002,Lua Nova: Revista de Cultura e Política
S0102-64452007000300003,Lua Nova: Revista de Cultura e Política
S0102-64452007000300004,Lua Nova: Revista de Cultura e Política
S0102-64452007000300005,Lua Nova: Revista de Cultura e Política
S0102-64452007000300006,Lua Nova: Revista de Cultura e Política
S0102-64452007000300007,Lua Nova: Revista de Cultura e Política
S0102-64452008000100001,Lua Nova: Revista de Cultura e Política
S0102-64452008000100002,Lua Nova: Revista de Cultura e Política
S0102-64452008000100003,Lua Nova: Revista de Cultura e Política
S0102-64452008000100004,Lua Nova: Revista de Cultura e Política
S0102-64452008000100005,Lua Nova: Revista de Cultura e Política
S0102-64452008000100006,Lua Nova: Revista de Cultura e Política
S0102-64452008000100007,Lua Nova: Revista de Cultura e Política
S0102-64452008000200002,Lua Nova: Revista de Cultura e Política
S0102-64452008000200003,Lua Nova: Revista de Cultura e Política
S0102-64452008000200004,Lua Nova: Revista de Cultura e Política
S0102-64452008000200005,Lua Nova: Revista de Cultura e Política
S0102-64452008000200006,Lua Nova: Revista de Cultura e Política
S0102-64452008000200007,Lua Nova: Revista de Cultura e Política
S0102-64452008000200008,Lua Nova: Revista de Cultura e Política
S0102-64452008000300002,Lua Nova: Revista de Cultura e Política
S0102-64452008000300003,Lua Nova: Revista de Cultura e Política
S0102-64452008000300005,Lua Nova: Revista de Cultura e Política
S0102-64452008000300006,Lua Nova: Revista de Cultura e Política
S0102-64452008000300007,Lua Nova: Revista de Cultura e Política
S0102-64452008000300008,Lua Nova: Revista de Cultura e Política
S0102-64452008000300009,Lua Nova: Revista de Cultura e Política
S0102-64452009000100002,Lua Nova: Revista de Cultura e Política
S0102-64452009000100004,Lua Nova: Revista de Cultura e Política
S0102-64452009000100005,Lua Nova: Revista de Cultura e Política
S0102-64452009000100006,Lua Nova: Revista de Cultura e Política
S0102-64452009000100007,Lua Nova: Revista de Cultura e Política
S0102-64452009000200001,Lua Nova: Revista de Cultura e Política
S0102-64452009000200002,Lua Nova: Revista de Cultura e Política
S0102-64452009000200003,Lua Nova: Revista de Cultura e Política
S0102-64452009000200004,Lua Nova: Revista de Cultura e Política
S0102-64452009000200005,Lua Nova: Revista de Cultura e Política
S0102-64452009000200006,Lua Nova: Revista de Cultura e Política
S0102-64452009000200007,Lua Nova: Revista de Cultura e Política
S0102-64452009000300001,Lua Nova: Revista de Cultura e Política
S0102-64452009000300003,Lua Nova: Revista de Cultura e Política
S0102-64452009000300004,Lua Nova: Revista de Cultura e Política
S0102-64452009000300005,Lua Nova: Revista de Cultura e Política
S0102-64452009000300006,Lua Nova: Revista de Cultura e Política
S0102-64452009000300007,Lua Nova: Revista de Cultura e Política
S0102-64452009000300008,Lua Nova: Revista de Cultura e Política
S0102-64452009000300009,Lua Nova: Revista de Cultura e Política
S0102-64452009000300010,Lua Nova: Revista de Cultura e Política
S0102-64452009000300011,Lua Nova: Revista de Cultura e Política
S0102-64452009000300012,Lua Nova: Revista de Cultura e Política
S0102-64452010000100003,Lua Nova: Revista de Cultura e Política
S0102-64452010000100005,Lua Nova: Revista de Cultura e Política
S0102-64452010000100006,Lua Nova: Revista de Cultura e Política
