agent_id,field,field_type,n_total,gold_non_null_n,gold_null_n,pred_non_null_n,pred_null_n,pred_coverage_non_null,exact_matches,exact_accuracy_all,exact_matches_when_gold_non_null,exact_accuracy_gold_non_null,gold_distinct_values,pred_distinct_values
agent_b,makes_implicit_causal_claim,binary,175,171,4,175,0,1,140,0.8,140,0.8187134502923976,3,2
agent_a,makes_implicit_causal_claim,binary,175,171,4,110,65,0.6285714285714286,84,0.48,83,0.4853801169590643,3,3
agent_c,makes_implicit_causal_claim,binary,175,171,4,28,147,0.16,25,0.14285714285714285,21,0.12280701754385964,3,3
agent_b,mentions_pre_registered_design_and_analysis_plan,binary,175,161,14,175,0,1,161,0.92,161,1,2,1
agent_a,mentions_pre_registered_design_and_analysis_plan,binary,175,161,14,51,124,0.2914285714285714,65,0.37142857142857144,51,0.3167701863354037,2,2
agent_c,mentions_pre_registered_design_and_analysis_plan,binary,175,161,14,5,170,0.02857142857142857,19,0.10857142857142857,5,0.031055900621118012,2,2
agent_c,placebo_test,binary,175,17,158,3,172,0.017142857142857144,155,0.8857142857142857,0,0,2,2
agent_a,placebo_test,binary,175,17,158,16,159,0.09142857142857143,148,0.8457142857142858,3,0.17647058823529413,2,2
agent_b,placebo_test,binary,175,17,158,36,139,0.2057142857142857,132,0.7542857142857143,5,0.29411764705882354,2,2
agent_b,references_power_analysis,binary,175,42,133,38,137,0.21714285714285714,111,0.6342857142857142,8,0.19047619047619047,3,2
agent_a,references_power_analysis,binary,175,42,133,51,124,0.2914285714285714,103,0.5885714285714285,10,0.23809523809523808,3,2
agent_c,references_power_analysis,binary,175,42,133,48,127,0.2742857142857143,102,0.5828571428571429,8,0.19047619047619047,3,2
agent_c,seeks_determinants,binary,175,85,90,53,122,0.3028571428571429,114,0.6514285714285715,36,0.4235294117647059,3,3
agent_a,seeks_determinants,binary,175,85,90,110,65,0.6285714285714286,94,0.5371428571428571,51,0.6,3,3
agent_b,seeks_determinants,binary,175,85,90,116,59,0.6628571428571428,93,0.5314285714285715,55,0.6470588235294118,3,3
agent_a,specifies_estimate_equations,binary,175,42,133,33,142,0.18857142857142858,115,0.6571428571428571,6,0.14285714285714285,3,3
agent_b,specifies_estimate_equations,binary,175,42,133,38,137,0.21714285714285714,108,0.6171428571428571,5,0.11904761904761904,3,3
agent_c,specifies_estimate_equations,binary,175,42,133,48,127,0.2742857142857143,102,0.5828571428571429,8,0.19047619047619047,3,3
agent_c,statement_of_identification_assumptions,binary,175,62,113,20,155,0.11428571428571428,129,0.7371428571428571,18,0.2903225806451613,2,3
agent_a,statement_of_identification_assumptions,binary,175,62,113,34,141,0.19428571428571428,123,0.7028571428571428,22,0.3548387096774194,2,2
agent_b,statement_of_identification_assumptions,binary,175,62,113,36,139,0.2057142857142857,123,0.7028571428571428,23,0.3709677419354839,2,2
agent_c,strong_non_causal_causal_qualification,binary,175,22,153,10,165,0.05714285714285714,144,0.8228571428571428,0,0,2,3
agent_b,strong_non_causal_causal_qualification,binary,175,22,153,36,139,0.2057142857142857,128,0.7314285714285714,5,0.22727272727272727,2,3
agent_a,strong_non_causal_causal_qualification,binary,175,22,153,67,108,0.38285714285714284,108,0.6171428571428571,11,0.5,2,3
agent_c,effort_to_explore_mechanisms,categorical,175,37,138,16,159,0.09142857142857143,135,0.7714285714285715,4,0.10810810810810811,4,3
agent_a,effort_to_explore_mechanisms,categorical,175,37,138,34,141,0.19428571428571428,126,0.72,2,0.05405405405405406,4,4
agent_b,effort_to_explore_mechanisms,categorical,175,37,138,57,118,0.32571428571428573,118,0.6742857142857143,10,0.2702702702702703,4,4
agent_a,error_in_raw_text,categorical,175,175,0,175,0,1,45,0.2571428571428571,45,0.2571428571428571,2,1
agent_b,error_in_raw_text,categorical,175,175,0,175,0,1,45,0.2571428571428571,45,0.2571428571428571,2,1
agent_c,error_in_raw_text,categorical,175,175,0,175,0,1,45,0.2571428571428571,45,0.2571428571428571,2,1
agent_a,evidence_type,categorical,175,175,0,175,0,1,136,0.7771428571428571,136,0.7771428571428571,4,4
agent_b,evidence_type,categorical,175,175,0,175,0,1,133,0.76,133,0.76,4,4
agent_c,evidence_type,categorical,175,175,0,175,0,1,112,0.64,112,0.64,4,4
agent_c,general_goal_of_analysis,categorical,175,69,106,87,88,0.49714285714285716,119,0.68,46,0.6666666666666666,3,3
agent_a,general_goal_of_analysis,categorical,175,69,106,110,65,0.6285714285714286,107,0.6114285714285714,49,0.7101449275362319,3,3
agent_b,general_goal_of_analysis,categorical,175,69,106,117,58,0.6685714285714286,101,0.5771428571428572,52,0.7536231884057971,3,3
agent_a,main_causal_research_design,categorical,175,21,154,16,159,0.09142857142857143,165,0.9428571428571428,13,0.6190476190476191,3,3
agent_c,main_causal_research_design,categorical,175,21,154,20,155,0.11428571428571428,164,0.9371428571428572,13,0.6190476190476191,3,3
agent_b,main_causal_research_design,categorical,175,21,154,36,139,0.2057142857142857,151,0.8628571428571429,14,0.6666666666666666,3,3
agent_b,method_status,categorical,175,175,0,175,0,1,149,0.8514285714285714,149,0.8514285714285714,2,2
agent_a,method_status,categorical,175,175,0,175,0,1,148,0.8457142857142858,148,0.8457142857142858,2,2
agent_c,method_status,categorical,175,175,0,175,0,1,135,0.7714285714285715,135,0.7714285714285715,2,2
agent_a,other_research_design,categorical,175,7,168,3,172,0.017142857142857144,166,0.9485714285714286,0,0,8,4
agent_c,other_research_design,categorical,175,7,168,7,168,0.04,162,0.9257142857142857,0,0,8,8
agent_b,other_research_design,categorical,175,7,168,22,153,0.12571428571428572,149,0.8514285714285714,0,0,8,23
agent_b,paper_uses_survey_data,categorical,175,175,0,175,0,1,163,0.9314285714285714,163,0.9314285714285714,3,3
agent_a,paper_uses_survey_data,categorical,175,175,0,175,0,1,161,0.92,161,0.92,3,3
agent_c,paper_uses_survey_data,categorical,175,175,0,175,0,1,159,0.9085714285714286,159,0.9085714285714286,3,3
agent_a,single_country_study,categorical,175,128,47,124,51,0.7085714285714285,151,0.8628571428571429,112,0.875,3,3
agent_b,single_country_study,categorical,175,128,47,107,68,0.6114285714285714,141,0.8057142857142857,97,0.7578125,3,3
agent_c,single_country_study,categorical,175,128,47,79,96,0.4514285714285714,119,0.68,74,0.578125,3,3
agent_a,single_region,categorical,175,27,148,27,148,0.15428571428571428,131,0.7485714285714286,4,0.14814814814814814,3,3
agent_c,single_region,categorical,175,27,148,21,154,0.12,130,0.7428571428571429,1,0.037037037037037035,3,3
agent_b,single_region,categorical,175,27,148,30,145,0.17142857142857143,128,0.7314285714285714,4,0.14814814814814814,3,3
agent_a,subfield,categorical,175,175,0,175,0,1,145,0.8285714285714286,145,0.8285714285714286,7,7
agent_b,subfield,categorical,175,175,0,175,0,1,143,0.8171428571428572,143,0.8171428571428572,7,7
agent_c,subfield,categorical,175,175,0,175,0,1,132,0.7542857142857143,132,0.7542857142857143,7,7
agent_c,uses_original_dataset,categorical,175,82,93,61,114,0.3485714285714286,105,0.6,32,0.3902439024390244,6,6
agent_a,uses_original_dataset,categorical,175,82,93,95,80,0.5428571428571428,90,0.5142857142857142,34,0.4146341463414634,6,6
agent_b,uses_original_dataset,categorical,175,82,93,117,58,0.6685714285714286,82,0.4685714285714286,43,0.524390243902439,6,6
agent_a,brief_justification,text_or_structured_exact,175,175,0,175,0,1,0,0,0,0,175,175
agent_b,brief_justification,text_or_structured_exact,175,175,0,175,0,1,0,0,0,0,175,175
agent_c,brief_justification,text_or_structured_exact,175,175,0,175,0,1,0,0,0,0,175,83
agent_b,countries_of_focus,text_or_structured_exact,175,128,47,107,68,0.6114285714285714,139,0.7942857142857143,96,0.75,28,20
agent_a,countries_of_focus,text_or_structured_exact,175,128,47,124,51,0.7085714285714285,138,0.7885714285714286,99,0.7734375,28,33
agent_c,countries_of_focus,text_or_structured_exact,175,128,47,74,101,0.4228571428571429,113,0.6457142857142857,69,0.5390625,28,12
agent_a,dependent_variables,text_or_structured_exact,175,10,165,14,161,0.08,156,0.8914285714285715,0,0,11,15
agent_b,dependent_variables,text_or_structured_exact,175,10,165,38,137,0.21714285714285714,135,0.7714285714285715,0,0,11,39
agent_c,dependent_variables,text_or_structured_exact,175,10,165,48,127,0.2742857142857143,125,0.7142857142857143,0,0,11,49
agent_a,independent_variables,text_or_structured_exact,175,9,166,14,161,0.08,156,0.8914285714285715,0,0,10,15
agent_b,independent_variables,text_or_structured_exact,175,9,166,38,137,0.21714285714285714,135,0.7714285714285715,0,0,10,39
agent_c,independent_variables,text_or_structured_exact,175,9,166,46,129,0.26285714285714284,127,0.7257142857142858,0,0,10,47
agent_a,instrumental_variable_instrument,text_or_structured_exact,175,0,175,0,175,0,175,1,0,,1,1
agent_b,instrumental_variable_instrument,text_or_structured_exact,175,0,175,0,175,0,175,1,0,,1,1
agent_c,instrumental_variable_instrument,text_or_structured_exact,175,0,175,0,175,0,175,1,0,,1,1
agent_a,main_variable_relationship,text_or_structured_exact,175,4,171,0,175,0,171,0.9771428571428571,0,0,5,1
agent_b,main_variable_relationship,text_or_structured_exact,175,4,171,15,160,0.08571428571428572,160,0.9142857142857143,0,0,5,16
agent_c,main_variable_relationship,text_or_structured_exact,175,4,171,17,158,0.09714285714285714,158,0.9028571428571428,0,0,5,18
agent_b,sample_size,text_or_structured_exact,175,1,174,19,156,0.10857142857142857,155,0.8857142857142857,0,0,2,19
agent_a,sample_size,text_or_structured_exact,175,1,174,21,154,0.12,153,0.8742857142857143,0,0,2,20
agent_c,sample_size,text_or_structured_exact,175,1,174,35,140,0.2,141,0.8057142857142857,1,1,2,33
agent_b,sample_size_quote,text_or_structured_exact,175,1,174,19,156,0.10857142857142857,155,0.8857142857142857,0,0,2,20
agent_a,sample_size_quote,text_or_structured_exact,175,1,174,21,154,0.12,153,0.8742857142857143,0,0,2,22
agent_c,sample_size_quote,text_or_structured_exact,175,1,174,35,140,0.2,140,0.8,0,0,2,36
agent_a,statement_of_identification_assumptions_quote,text_or_structured_exact,175,0,175,0,175,0,175,1,0,,1,1
agent_b,statement_of_identification_assumptions_quote,text_or_structured_exact,175,0,175,0,175,0,175,1,0,,1,1
agent_c,statement_of_identification_assumptions_quote,text_or_structured_exact,175,0,175,1,174,0.005714285714285714,174,0.9942857142857143,0,,1,2
