draw,alpha,beta_area_ri,p_cp,p_ri,delta_cp_minus_ri,odds_ratio_ri_cp
4157,-0.40901272,-2.2509577,0.3991488759843825,0.06537714082819733,0.33377173515618513,0.10529833204459481
4158,-0.40425094,-2.392294,0.40029143569534914,0.057511166638636466,0.34278026905671266,0.09141972629610973
4159,-0.4333422,-2.3535056,0.39332852811517327,0.05803904778610043,0.33528948032907285,0.0950354214031675
4160,-0.3518567,-2.410121,0.41293224869666634,0.059413748324213596,0.35351850037245275,0.08980442757907073
4161,-0.49244536,-2.0577676,0.379317672761609,0.0724121798219329,0.30690549293967606,0.12773881596409967
4162,0.0058030351,-2.9685263,0.5014507547037957,0.04913860789824744,0.4523121468055483,0.051378971757783505
4163,-0.21616467,-2.6481394,0.44616828637970696,0.053946614150319365,0.3922216722293876,0.07078278907465803
4164,-0.56385986,-2.0448194,0.36265483383663244,0.06858192248199364,0.2940729113546388,0.12940355814976343
4165,-0.36732644,-2.4235372,0.4091872055409719,0.05781988900552327,0.3513673165354486,0.0886076395428208
4166,-0.25486562,-2.5269551,0.43662626875529253,0.058314492242282315,0.37831177651301023,0.07990194368781285
4167,-0.34227577,-2.5902323,0.41525677145881307,0.05056977047257075,0.3646870009862423,0.07500261495402251
4168,-0.364459,-2.1882074,0.4098805979520075,0.07224755833503771,0.3376330396169698,0.11211755050586134
4169,-0.56278941,-1.0064841,0.36290229005233865,0.17231998329097628,0.19058230676136237,0.3655017908784745
4170,-0.37895485,-1.9996726,0.4063789992485717,0.08481704664169876,0.3215619526068729,0.13537959926248194
4171,-0.51123533,-2.5083039,0.3749039800202452,0.0465509210270691,0.32835305899317613,0.08140619526199973
4172,-0.062357973,-1.5735243,0.4844155564536195,0.1630261414148403,0.3213894150387792,0.20731325923674837
4173,0.15674964,-2.1289754,0.5391073689683351,0.1221500191416749,0.4169573498266602,0.11895911694300261
4174,0.14878039,-2.006688,0.5371266377054272,0.13494712350355376,0.4021795142018735,0.13443318085522438
4175,0.021008923999999998,-1.5987854,0.505252037824954,0.17111061778986988,0.33414142003508407,0.2021418904899626
4176,-0.011424844,-1.4890876,0.49714382006733,0.18234910703954238,0.3147947130277876,0.22557837938730066
4177,0.12759436,-2.2208539,0.5318553837335577,0.1097536864813676,0.42210169725219004,0.10851640709157019
4178,0.0078328728,-2.0728978,0.501958208188035,0.11253898215111513,0.3894192260369199,0.12582064984187888
4179,-0.89379933,-1.4438952,0.2903264017967271,0.08804885971161255,0.20227754208511453,0.2360066727480724
4180,-0.95665945,-1.5333577,0.27754752690331874,0.07656098484828935,0.2009865420550294,0.21580982476855887
4181,-0.75273324,-1.716608,0.32022603340774625,0.07803561714294238,0.24219041626480386,0.1796745715884053
4182,-1.1180435,-1.1299425,0.2463743745261315,0.09552333003465252,0.15085104449147899,0.3230518313685218
4183,-0.96768914,-1.6531499,0.27534134515995706,0.06780923766162954,0.2075321074983275,0.19144592236113853
4184,-0.95890402,-1.7632372,0.27709768198147866,0.06167942662672195,0.21541825535475673,0.1714888206868888
4185,-1.0061515,-1.426946,0.26773368349764726,0.08068341586805464,0.18705026762959262,0.24004088883635802
4186,-0.78375787,-1.2221566,0.31351054471907774,0.11858333785264749,0.19492720686643025,0.29459415959922597
4187,-0.62544869,-1.2505468,0.34854324847784524,0.1328495173080028,0.21569373116984245,0.2863481788605303
4188,-0.63632942,-1.4358804,0.34607674967460506,0.11182736645693647,0.23424938321766858,0.23790581950323733
4189,-0.30202601,-2.0955443,0.42506228306037935,0.08335816024180497,0.3417041228185744,0.12300327474758814
4190,-0.20790494,-2.0500735,0.4482101796825169,0.0946634793942367,0.3535467002882802,0.12872544192011107
4191,-0.23503721,-2.4155644,0.4415097123415132,0.06595193926402025,0.37555777307749294,0.0893169142268532
4192,-0.26460995,-1.7463694,0.4342308199506877,0.11805497170248161,0.3161758482482061,0.17440599379626107
4193,-0.36167139,-1.6429909,0.41055502985144726,0.11871427989255423,0.29184074995889303,0.19340073414062658
4194,-0.22643446,-2.1898222,0.44363202366526305,0.08194141544866525,0.3616906082165978,0.11193664918434101
4195,-0.38415785,-2.0889785,0.40512446690598614,0.07776301081200493,0.3273614560939812,0.12381354678009943
4196,-0.57841628,-1.2246228,0.3592970889725645,0.14148152220768836,0.21781556676487615,0.293868526628622
